,Savings,CreditScore,Debt
0,400,565,0
1,52,600,3000
2,0,,
3,0,650,75000
4,0,,3500
5,0,,
6,0,,
7,0,,
8,0,550,
9,0,,
10,,501,
11,,,
12,20,580,3000
13,1500,300,2500
14,25,,
15,0,,1300
16,35,547,
17,0,0,
18,,,
19,,,600
20,,,
21,,,15000
22,,,
23,0,,
24,,,
25,,,
26,,,
27,,,
28,,635,
29,,,
30,,,
31,,,
32,10,,
33,,,
34,,,
35,1875,,
36,,,
37,,650,
38,100,520,30000
39,60,535,2000
40,200,585,8000
41,20,595,30000
42,120000,605,11000
43,120000,733,9100
44,10000,610,11530
45,8000,610,9202.78
46,100,,2000
47,0,499,947
48,0,597,947
49,37000,813,0
50,100,459,5000
51,100,641,9178
52,100,669,10000
53,150,395,2200
54,300,395,2200
55,0,568,75000
56,1056,511,19200
57,0,708,16000
58,,776,
59,1000,,22000
60,,,5000
61,,,800
62,,,0
63,,,1400
64,,,0
65,,,0
66,,,6000
67,,,400
68,,,0
69,,,0
70,,,0
71,,,47000
72,,,0
73,,,1500
74,,,0
75,,,16000
76,,,172000
77,,,0
78,0,,17392
79,225,,40527
80,0,,41000
81,0,,0
82,0,,36000
83,25,,6000
84,0,,50000
85,0,,10000
86,0,,0
87,0,,0
88,0,,85000
89,0,,50600
90,3,,107800
91,0,,51080
92,0,,680
93,0,,35000
94,0,,0
95,0,,0
96,0,,0
97,0,,4900
98,0,,42000
99,0,,5000
100,,,0
101,,,0
102,,,0
103,6,,60000
104,,,0
105,,,2500
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,30000
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,0,521,10869
146,0,580,5000
147,250,600,2000
148,0,,
149,0,,
150,0,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,24000
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,600,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
