,Wages1,Hours1,Wages2,Hours2
342,,,,
343,15.5,40.0,,
344,18.4,30.0,,
345,15.0,40.0,,
346,12.5,40.0,,
347,12.0,40.0,,
348,,,,
349,13.0,40.0,,
350,40.0,15.0,,
351,,,,
352,,,,
353,13.0,40.0,,
354,,,,
355,14.0,40.0,,
356,,,,
357,15.0,20.0,,
358,17.0,40.0,,
359,25.0,50.0,,
360,12.0,40.0,,
361,,,,
362,14.0,50.0,,
363,,,,
364,7.25,40.0,,
365,9.5,40.0,,
366,22.0,40.0,,
367,,,,
368,,,,
369,28.0,40.0,,
370,18.0,40.0,,
371,12.5,40.0,,
372,,,,
373,,,,
374,,,,
375,16.0,40.0,,
376,9.0,20.0,,
377,16.0,30.0,,
378,11.5,32.0,,
379,10.0,40.0,,
380,12.0,40.0,,
381,,,,
382,2.15,25.0,,
383,10.5,40.0,,
384,7.25,12.0,,
385,19.43,40.0,,
386,16.25,40.0,,
387,14.0,40.0,,
388,8.75,10.0,,
389,18.0,40.0,,
390,17.0,40.0,,
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,,,,
397,,,,
398,11.0,40.0,,
399,,,,
400,13.0,40.0,,
401,,,,
402,,,,
403,17.6,40.0,,
404,15.0,40.0,,
405,11.0,40.0,,
406,11.0,35.0,,
407,,,,
408,18.0,40.0,,
409,,,,
410,,,,
411,14.0,40.0,,
412,22.0,50.0,,
413,13.5,40.0,,
414,20.0,40.0,,
415,,,,
416,,,,
417,11.5,40.0,,
418,14.0,40.0,,
419,16.1,42.0,,
420,,,,
421,,,,
422,,,,
423,20.0,30.0,,
424,15.0,40.0,,
425,15.8,40.0,,
426,15.0,40.0,,
427,20.0,40.0,,
428,,,,
429,,,,
430,22.14,40.0,,
431,20.0,40.0,,
432,,,,
433,,,,
434,,,,
435,,,,
436,13.5,40.0,,
437,,,,
438,13.0,40.0,,
439,15.0,40.0,,
440,10.0,40.0,,
441,,,,
442,,,,
443,11.0,40.0,,
444,11.0,25.0,,
445,,,,
446,,,,
447,13.5,56.0,,
448,,,,
449,,,,
450,13.5,40.0,,
451,14.0,56.0,,
452,16.0,40.0,,
453,14.0,40.0,,
