,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
0,No,No,Yes,Yes,No,Yes,2
1,Yes,No,Yes,Yes,No,Yes,2
2,No,No,Yes,Yes,No,Yes,2
3,Yes,No,Yes,Yes,No,Yes,2
4,Yes,No,Yes,Yes,No,Yes,2
5,Yes,No,Yes,Yes,No,Yes,2
6,Yes,No,Yes,Yes,No,Yes,2
7,Yes,No,No,Yes,No,Yes,2
8,Yes,No,No,Yes,No,Yes,2
9,Yes,No,No,Yes,No,Yes,2
10,Yes,No,No,Yes,No,Yes,2
11,Yes,No,Yes,Yes,No,Yes,2
12,Yes,No,Yes,Yes,No,Yes,2
13,Yes,No,Yes,Yes,No,Yes,2
14,Yes,No,No,Yes,No,Yes,2
15,Yes,No,Yes,Yes,No,Yes,2
16,Yes,No,Yes,Yes,No,Yes,2
17,Yes,No,No,Yes,No,Yes,2
18,Yes,No,No,Yes,No,Yes,2
19,Yes,No,No,Yes,No,Yes,2
20,Yes,No,No,Yes,No,Yes,2
21,Yes,No,No,Yes,No,Yes,2
22,Yes,No,Yes,Yes,Yes,Yes,3
23,Yes,No,Yes,Yes,No,Yes,2
24,Yes,No,Yes,Yes,Yes,Yes,3
25,Yes,No,Yes,Yes,Yes,Yes,3
26,Yes,No,Yes,Yes,Yes,Yes,3
27,No,No,Yes,Yes,Yes,Yes,3
28,Yes,No,No,Yes,No,Yes,2
29,Yes,No,Yes,Yes,No,Yes,2
30,No,No,Yes,Yes,No,Yes,2
31,Yes,No,No,Yes,No,Yes,2
32,Yes,No,No,Yes,No,Yes,2
33,Yes,No,Yes,Yes,No,Yes,2
34,Yes,No,Yes,Yes,No,Yes,2
35,Yes,No,No,Yes,No,Yes,2
36,Yes,No,Yes,Yes,No,Yes,2
37,Yes,No,No,Yes,No,Yes,2
38,Yes,No,No,Yes,No,Yes,2
39,Yes,No,Yes,Yes,No,Yes,2
40,Yes,No,Yes,Yes,No,Yes,2
41,Yes,No,Yes,Yes,No,Yes,2
42,Yes,No,Yes,Yes,No,Yes,2
43,Yes,No,Yes,Yes,No,Yes,2
44,Yes,No,Yes,Yes,No,Yes,2
45,Yes,No,No,Yes,No,Yes,2
46,Yes,No,Yes,Yes,No,Yes,2
47,Yes,No,No,Yes,No,Yes,2
48,No,No,Yes,Yes,No,Yes,2
49,No,No,Yes,Yes,No,Yes,2
50,No,No,No,No,No,Yes,1
51,Yes,No,Yes,Yes,No,Yes,2
52,No,No,Yes,Yes,No,Yes,2
53,No,No,Yes,Yes,No,Yes,2
54,No,No,Yes,Yes,No,Yes,2
55,No,No,Yes,Yes,No,Yes,2
56,No,No,Yes,Yes,No,Yes,2
57,No,No,Yes,Yes,No,Yes,2
58,No,No,Yes,Yes,Yes,Yes,3
59,Yes,No,No,Yes,No,Yes,2
60,No,No,Yes,Yes,No,Yes,2
61,No,No,Yes,Yes,No,Yes,2
62,No,No,Yes,Yes,No,Yes,2
63,No,No,No,No,No,Yes,1
64,No,No,Yes,Yes,No,Yes,2
65,No,No,Yes,Yes,No,Yes,2
66,No,No,Yes,Yes,No,Yes,2
67,No,No,Yes,Yes,No,Yes,2
68,No,No,Yes,Yes,No,Yes,2
69,No,No,Yes,Yes,Yes,Yes,3
70,No,No,Yes,Yes,Yes,Yes,3
71,No,No,Yes,Yes,No,Yes,2
72,No,No,Yes,Yes,No,Yes,2
73,No,No,No,No,No,Yes,1
74,No,No,Yes,Yes,No,Yes,2
75,No,No,No,No,No,Yes,1
76,No,No,No,No,No,Yes,1
77,No,No,Yes,Yes,No,Yes,2
78,No,No,Yes,Yes,No,Yes,2
79,No,No,No,No,No,Yes,1
80,No,No,Yes,Yes,No,Yes,2
81,No,No,Yes,Yes,No,Yes,2
82,No,No,Yes,Yes,No,Yes,2
83,No,No,Yes,Yes,Yes,Yes,3
84,No,No,Yes,Yes,No,Yes,2
85,No,No,Yes,Yes,No,Yes,2
86,No,No,No,No,No,Yes,1
87,No,No,Yes,Yes,No,Yes,2
88,No,No,Yes,Yes,No,Yes,2
89,No,No,Yes,Yes,No,Yes,2
90,Yes,No,Yes,Yes,No,Yes,2
91,No,No,Yes,Yes,No,Yes,2
92,No,No,No,No,No,Yes,1
93,No,No,No,No,No,Yes,1
94,No,No,No,No,No,Yes,1
95,No,No,No,No,No,Yes,1
96,No,No,Yes,Yes,Yes,Yes,3
97,No,No,No,No,No,Yes,1
98,No,No,Yes,Yes,Yes,Yes,3
99,No,,Yes,Yes,No,No,1
100,No,,Yes,Yes,Yes,No,2
101,No,No,Yes,Yes,No,No,1
102,No,,Yes,Yes,No,No,1
103,No,,Yes,Yes,Yes,No,2
104,No,Yes,Yes,Yes,Yes,No,2
105,No,,Yes,Yes,No,No,1
106,No,Yes,Yes,Yes,Yes,No,2
107,No,,Yes,Yes,No,No,1
108,Yes,Yes,Yes,Yes,Yes,Yes,3
109,Yes,Yes,Yes,Yes,Yes,Yes,3
110,No,No,Yes,Yes,No,Yes,2
111,No,,Yes,Yes,No,No,1
112,No,,Yes,Yes,Yes,No,2
113,No,,Yes,Yes,No,No,1
114,No,,Yes,Yes,No,No,1
115,No,,Yes,Yes,Yes,Yes,3
116,No,No,Yes,Yes,Yes,Yes,3
117,No,No,Yes,Yes,Yes,Yes,3
118,No,,Yes,Yes,No,No,1
119,No,,Yes,Yes,No,No,1
120,No,Yes,Yes,Yes,No,No,1
121,No,No,Yes,Yes,No,No,1
122,No,,Yes,Yes,No,No,1
123,No,,Yes,Yes,No,No,1
124,No,,Yes,Yes,No,No,1
125,No,,Yes,Yes,No,No,1
126,No,,Yes,Yes,No,No,1
127,No,,Yes,Yes,No,No,1
128,No,,Yes,Yes,No,No,1
129,No,,Yes,Yes,No,No,1
130,No,Yes,Yes,Yes,No,No,1
131,No,,Yes,Yes,No,No,1
132,No,Yes,Yes,Yes,No,No,1
133,No,,Yes,Yes,No,No,1
134,No,No,Yes,Yes,No,No,1
135,No,Yes,Yes,Yes,Yes,No,2
136,No,,Yes,Yes,Yes,No,2
137,No,No,Yes,Yes,No,No,1
138,No,,Yes,Yes,No,No,1
139,No,,Yes,Yes,Yes,No,2
140,No,Yes,Yes,Yes,No,No,1
141,Yes,Yes,Yes,Yes,Yes,Yes,3
142,Yes,Yes,Yes,Yes,Yes,Yes,3
143,Yes,Yes,Yes,Yes,Yes,Yes,3
144,Yes,Yes,Yes,Yes,Yes,Yes,3
145,No,,Yes,Yes,No,No,1
146,No,No,Yes,Yes,No,No,1
147,No,,Yes,Yes,No,No,1
148,No,,Yes,Yes,No,No,1
149,No,,Yes,Yes,No,No,1
150,No,,Yes,Yes,No,No,1
151,No,,Yes,Yes,No,No,1
152,No,,Yes,Yes,No,No,1
153,No,,Yes,Yes,No,No,1
154,No,,Yes,Yes,No,No,1
155,No,,Yes,Yes,No,No,1
156,No,,Yes,Yes,No,No,1
157,No,,Yes,Yes,No,No,1
158,No,Yes,Yes,Yes,No,No,1
159,No,,Yes,Yes,No,No,1
160,No,Yes,Yes,Yes,No,No,1
161,No,,Yes,Yes,No,No,1
162,No,Yes,Yes,Yes,No,No,1
163,No,,Yes,Yes,No,No,1
164,No,,Yes,Yes,No,No,1
165,No,,Yes,Yes,No,No,1
166,No,,Yes,Yes,No,No,1
167,No,,Yes,Yes,No,No,1
168,No,Yes,Yes,Yes,Yes,No,2
169,No,,Yes,Yes,Yes,No,2
170,No,,Yes,Yes,No,No,1
171,No,,Yes,Yes,No,No,1
172,No,,Yes,Yes,No,No,1
173,No,,Yes,Yes,No,Yes,2
174,No,,Yes,Yes,No,Yes,2
175,No,No,Yes,Yes,No,Yes,2
176,No,,Yes,Yes,No,No,1
177,No,,Yes,Yes,No,No,1
178,No,Yes,Yes,Yes,No,No,1
179,No,,Yes,Yes,No,No,1
180,No,,Yes,Yes,No,No,1
181,No,,Yes,Yes,No,No,1
182,No,,Yes,Yes,No,No,1
183,No,No,Yes,Yes,No,No,1
184,No,Yes,Yes,Yes,Yes,No,2
185,No,No,Yes,Yes,No,No,1
186,No,,Yes,Yes,No,No,1
187,No,,Yes,Yes,No,No,1
188,No,,Yes,Yes,No,No,1
189,No,,Yes,Yes,No,No,1
190,Yes,No,Yes,Yes,Yes,Yes,3
191,Yes,No,Yes,Yes,Yes,Yes,3
192,No,,Yes,Yes,No,No,1
193,No,,Yes,Yes,No,No,1
194,No,No,Yes,Yes,No,No,1
195,No,,Yes,Yes,No,No,1
196,No,,Yes,Yes,No,No,1
197,No,,Yes,Yes,No,No,1
198,No,,Yes,Yes,No,No,1
199,No,,Yes,Yes,No,No,1
200,No,No,Yes,Yes,No,Yes,2
201,No,,Yes,Yes,No,No,1
202,No,,Yes,Yes,No,No,1
203,No,No,Yes,Yes,Yes,Yes,3
204,No,,Yes,Yes,No,No,1
205,No,Yes,Yes,Yes,Yes,No,2
206,No,,Yes,Yes,No,No,1
207,No,Yes,Yes,Yes,Yes,No,2
208,No,Yes,Yes,Yes,Yes,No,2
209,No,Yes,Yes,Yes,No,No,1
210,No,,Yes,Yes,No,No,1
211,No,,Yes,Yes,No,No,1
212,No,,Yes,Yes,No,No,1
213,No,,Yes,Yes,No,Yes,2
214,No,,Yes,Yes,No,No,1
215,No,,Yes,Yes,No,No,1
216,No,,Yes,Yes,No,No,1
217,No,,Yes,Yes,No,No,1
218,No,,Yes,Yes,No,No,1
219,No,,Yes,Yes,No,No,1
220,No,,Yes,Yes,No,No,1
221,No,,Yes,Yes,No,No,1
222,No,,Yes,Yes,No,No,1
223,No,,Yes,Yes,No,No,1
224,No,,Yes,Yes,No,No,1
225,No,,Yes,Yes,No,No,1
226,No,,Yes,Yes,No,No,1
227,No,,Yes,Yes,No,No,1
228,No,,Yes,Yes,Yes,No,2
229,No,,Yes,Yes,No,No,1
230,No,,Yes,Yes,No,No,1
231,No,No,Yes,Yes,No,No,1
232,No,,Yes,Yes,No,No,1
233,No,,Yes,Yes,No,No,1
234,No,,Yes,Yes,Yes,No,2
235,No,,Yes,Yes,No,No,1
236,No,,Yes,Yes,No,No,1
237,No,Yes,Yes,Yes,No,No,1
238,No,,Yes,Yes,No,No,1
239,No,,Yes,Yes,No,No,1
240,No,,Yes,Yes,No,No,1
241,No,,Yes,Yes,No,No,1
242,No,,Yes,Yes,No,No,1
243,No,,Yes,Yes,Yes,No,2
244,No,,Yes,Yes,No,No,1
245,No,Yes,Yes,Yes,No,No,1
246,No,,Yes,Yes,No,No,1
247,No,,Yes,Yes,No,No,1
248,No,,Yes,Yes,No,No,1
249,No,,Yes,Yes,No,No,1
250,No,,Yes,Yes,No,No,1
251,No,,Yes,Yes,No,No,1
252,No,,Yes,Yes,No,No,1
253,No,,Yes,Yes,No,No,1
254,No,,Yes,Yes,No,No,1
255,No,,Yes,Yes,No,No,1
256,No,,Yes,Yes,No,No,1
257,No,,Yes,Yes,No,No,1
258,No,,Yes,Yes,No,No,1
259,No,,Yes,Yes,Yes,No,2
260,No,,Yes,Yes,No,No,1
261,No,,Yes,Yes,No,No,1
262,No,,Yes,Yes,No,No,1
263,No,,Yes,Yes,No,No,1
264,No,,Yes,Yes,No,No,1
265,Yes,Yes,Yes,Yes,Yes,Yes,3
266,Yes,Yes,Yes,Yes,Yes,Yes,3
267,No,,Yes,Yes,No,No,1
268,No,,Yes,Yes,No,No,1
269,No,,Yes,Yes,No,No,1
270,No,,Yes,Yes,No,No,1
271,No,No,Yes,Yes,No,Yes,2
272,No,No,Yes,Yes,Yes,No,2
273,No,,Yes,Yes,No,No,1
274,No,,Yes,Yes,No,No,1
275,No,,Yes,Yes,No,No,1
276,No,,Yes,Yes,No,No,1
277,No,,Yes,Yes,No,Yes,2
278,No,,Yes,Yes,No,Yes,2
279,No,,Yes,Yes,No,No,1
280,No,,Yes,Yes,No,No,1
281,No,,Yes,Yes,No,No,1
282,No,,Yes,Yes,No,No,1
283,No,,Yes,Yes,No,No,1
284,No,,Yes,Yes,No,No,1
285,No,,Yes,Yes,No,No,1
286,No,,Yes,Yes,No,No,1
287,No,,Yes,Yes,No,No,1
