,Savings,CreditScore,Debt
0,,,80
1,25,475,0
2,3000,584,10000
3,275,,0
4,200,720,33624.7
5,,,5000
6,75,737,2149
7,,699,6721
8,3421,731,165156
9,,,0
10,60000,,0
11,,530,0
12,,,0
13,,495,16887
14,300,,27000
15,,,1137
16,,534,389
17,,,12000
18,,,20100
19,800,,300
20,,,13000
21,,680,23000
22,125,,0
23,,603,64627.5
24,5,628,24854
25,,,2271
26,,,25725
27,,,0
28,,536,8500
29,800,591,30701.27
30,,,103850
31,,,159579
32,,,0
33,,,21000
34,,,0
35,,640,5500
36,850,671,0
37,11,564,1393
38,,,0
39,,,398.27
40,,,30
41,,,0
42,190,611,39700
43,,671,315
44,,755,169.99
45,1000,,10000
46,,,0
47,,,0
48,1250,756,18916
49,5000,739,178200
50,2000,710,0
51,57000,743,0
52,50,590,0
53,0.01,580,700
54,2031,665,0
55,4000,626,12000
56,500,736,4400
57,0,,8000
58,,,
59,,550,0
60,904.88,578,2598.98
61,0,520,0
62,462.7,,400
63,,510,4000
64,75,717,3032
65,,,20000
66,,,0
67,850,564,3623
68,,450,0
69,,705,20917
70,1050,721,900
71,75,,295
72,,,0
73,,,0
74,,546,5200
75,350,483,0
76,2500,,0
77,9075,740,60
78,,,0
79,22000,750,1700
80,,,0
81,,,0
82,,,1300
83,,,
84,,,800
85,,638,1097
86,,,23000
87,,,12000
88,,,0
89,2,,300
90,150,600,1000
91,,,0
92,286,,0
93,,,300
94,,,31300
95,,,8000
96,,,0
97,849,683,19800
98,35,691,19228
99,,,
100,,,
101,20,635,457
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,0,,
109,0,,
110,0,531,1722
111,,,
112,,,
113,,,
114,,,
115,,,
116,2000,,2650
117,2000,,2650
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,100,,2075
138,,,
139,,,
140,,,
141,0,,27500
142,0,,27500
143,0,,
144,0,,
145,,,
146,500,678,10000
147,8200,,0
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
