,ClientID,Quarter,Baseline,date
0,2001956,2019 Q1,t,1/1/2019
1,2006607,2019 Q1,t,1/1/2019
2,2075316,2019 Q1,t,1/1/2019
3,2082281,2019 Q1,t,1/1/2019
4,2083688,2019 Q1,t,1/1/2019
5,2084846,2019 Q1,t,1/1/2019
6,2085342,2019 Q1,t,1/1/2019
7,2085343,2019 Q1,t,1/1/2019
8,2086730,2019 Q1,t,1/1/2019
9,2088771,2019 Q1,t,1/1/2019
10,2084998,2019 Q1,t,1/1/2019
11,2077674,2019 Q1,t,1/1/2019
