,BenefitsScreening,BenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
152,No,Yes,,Yes,No,No,1
153,No,No,No,No,Yes,No,1
154,No,No,No,No,Yes,No,1
155,Yes,No,,Yes,Yes,No,2
156,Yes,No,No,Yes,Yes,No,2
157,Yes,No,No,Yes,Yes,No,2
158,Yes,No,No,Yes,Yes,No,2
159,Yes,No,No,Yes,Yes,No,2
160,No,No,Yes,Yes,No,No,1
161,Yes,Yes,,Yes,No,No,1
162,No,No,,No,Yes,Yes,2
163,No,Yes,No,Yes,No,No,1
164,No,No,,No,No,No,0
165,No,No,No,No,Yes,Yes,2
166,Yes,No,,Yes,Yes,Yes,3
167,No,No,,No,Yes,Yes,2
168,Yes,No,No,Yes,Yes,No,2
169,No,No,No,No,No,No,0
170,Yes,No,,Yes,Yes,Yes,3
171,Yes,No,No,Yes,Yes,Yes,3
172,Yes,Yes,,Yes,No,Yes,2
173,Yes,No,,Yes,Yes,Yes,3
174,Yes,No,,Yes,Yes,Yes,3
175,No,No,No,No,No,No,0
176,No,No,No,No,No,No,0
177,Yes,No,No,Yes,Yes,No,2
178,Yes,No,No,Yes,Yes,No,2
179,Yes,No,No,Yes,Yes,No,2
180,Yes,No,No,Yes,Yes,No,2
181,No,No,,No,No,No,0
182,Yes,No,No,Yes,Yes,No,2
183,Yes,No,No,Yes,Yes,No,2
184,Yes,No,,Yes,Yes,Yes,3
185,Yes,No,,Yes,Yes,Yes,3
186,Yes,No,Yes,Yes,Yes,Yes,3
187,Yes,Yes,No,Yes,Yes,Yes,3
188,Yes,No,No,Yes,Yes,Yes,3
189,Yes,No,,Yes,Yes,Yes,3
190,No,No,,No,No,Yes,1
191,No,No,,No,Yes,Yes,2
192,No,No,,No,No,No,0
193,No,No,Yes,Yes,No,Yes,2
194,Yes,No,,Yes,Yes,Yes,3
195,Yes,Yes,No,Yes,No,No,1
196,Yes,Yes,No,Yes,Yes,Yes,3
197,Yes,No,,Yes,Yes,Yes,3
198,Yes,Yes,,Yes,No,No,1
199,No,Yes,,Yes,No,Yes,2
200,Yes,No,,Yes,No,Yes,2
201,Yes,No,,Yes,Yes,No,2
202,No,No,No,No,No,Yes,1
203,No,No,,No,Yes,No,1
204,No,Yes,,Yes,No,Yes,2
205,No,Yes,,Yes,Yes,Yes,3
206,Yes,No,,Yes,No,Yes,2
207,Yes,Yes,,Yes,No,Yes,2
208,Yes,No,No,Yes,No,Yes,2
209,Yes,No,,Yes,No,Yes,2
210,Yes,No,,Yes,No,Yes,2
211,No,No,No,No,No,Yes,1
212,Yes,No,,Yes,No,Yes,2
213,No,No,,No,Yes,Yes,2
214,Yes,No,,Yes,Yes,Yes,3
