,BenefitsScreening,BenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
1661,Yes,No,Yes,Yes,Yes,Yes,3
1662,Yes,No,Yes,Yes,Yes,Yes,3
1663,Yes,No,Yes,Yes,Yes,Yes,3
1664,Yes,No,Yes,Yes,Yes,Yes,3
1665,Yes,No,Yes,Yes,Yes,Yes,3
1666,No,No,No,No,Yes,Yes,2
1667,Yes,No,Yes,Yes,Yes,Yes,3
1668,Yes,Yes,Yes,Yes,Yes,Yes,3
1669,No,No,No,No,Yes,Yes,2
1670,No,No,No,No,Yes,Yes,2
1671,No,No,No,No,Yes,Yes,2
1672,Yes,Yes,Yes,Yes,Yes,Yes,3
1673,Yes,Yes,Yes,Yes,Yes,Yes,3
1674,Yes,No,Yes,Yes,No,Yes,2
1675,Yes,No,Yes,Yes,Yes,Yes,3
1676,Yes,Yes,Yes,Yes,Yes,Yes,3
1677,No,No,No,No,Yes,Yes,2
1678,No,No,No,No,Yes,Yes,2
1679,Yes,Yes,Yes,Yes,Yes,Yes,3
1680,Yes,No,Yes,Yes,No,Yes,2
1681,Yes,Yes,Yes,Yes,No,Yes,2
1682,Yes,Yes,Yes,Yes,No,Yes,2
1683,Yes,No,Yes,Yes,Yes,Yes,3
1684,Yes,No,Yes,Yes,No,Yes,2
1685,No,Yes,Yes,Yes,No,Yes,2
1686,Yes,No,Yes,Yes,No,Yes,2
1687,Yes,No,Yes,Yes,No,Yes,2
1688,Yes,No,Yes,Yes,No,Yes,2
1689,Yes,No,Yes,Yes,No,Yes,2
1690,Yes,Yes,Yes,Yes,No,Yes,2
1691,Yes,No,Yes,Yes,No,Yes,2
1692,Yes,Yes,Yes,Yes,No,Yes,2
1693,Yes,No,No,Yes,No,Yes,2
1694,Yes,No,Yes,Yes,No,Yes,2
1695,Yes,Yes,Yes,Yes,No,Yes,2
1696,Yes,No,Yes,Yes,No,Yes,2
1697,Yes,No,Yes,Yes,No,Yes,2
1698,Yes,No,Yes,Yes,No,Yes,2
1699,Yes,No,Yes,Yes,No,Yes,2
1700,Yes,Yes,Yes,Yes,No,Yes,2
1701,No,No,No,No,Yes,Yes,2
1702,No,No,No,No,Yes,Yes,2
1703,Yes,No,Yes,Yes,Yes,Yes,3
1704,No,No,No,No,Yes,Yes,2
1705,No,No,No,No,Yes,Yes,2
1706,No,No,Yes,Yes,No,Yes,2
1707,No,No,No,No,No,Yes,1
1708,No,No,No,No,Yes,Yes,2
1709,No,Yes,No,Yes,No,Yes,2
1710,No,No,No,No,No,Yes,1
1711,No,No,No,No,No,Yes,1
1712,No,No,No,No,No,Yes,1
1713,No,No,No,No,Yes,Yes,2
1714,No,No,Yes,Yes,Yes,Yes,3
1715,Yes,No,Yes,Yes,Yes,Yes,3
1716,Yes,No,Yes,Yes,Yes,Yes,3
1717,Yes,Yes,Yes,Yes,Yes,No,2
1718,Yes,Yes,Yes,Yes,Yes,Yes,3
1719,Yes,Yes,Yes,Yes,Yes,Yes,3
1720,Yes,Yes,Yes,Yes,Yes,Yes,3
1721,Yes,No,Yes,Yes,Yes,Yes,3
1722,Yes,No,Yes,Yes,Yes,Yes,3
1723,No,No,Yes,Yes,Yes,Yes,3
1724,No,No,Yes,Yes,Yes,Yes,3
1725,No,No,Yes,Yes,Yes,Yes,3
1726,No,No,No,No,Yes,Yes,2
1727,No,No,Yes,Yes,No,Yes,2
1728,No,No,No,No,Yes,Yes,2
1729,No,No,No,No,Yes,Yes,2
1730,Yes,Yes,Yes,Yes,Yes,Yes,3
1731,Yes,No,Yes,Yes,Yes,Yes,3
1732,Yes,No,Yes,Yes,Yes,Yes,3
1733,Yes,No,Yes,Yes,Yes,Yes,3
1734,Yes,No,Yes,Yes,Yes,Yes,3
1735,Yes,No,Yes,Yes,Yes,Yes,3
1736,Yes,No,Yes,Yes,Yes,Yes,3
1737,Yes,No,Yes,Yes,Yes,Yes,3
1738,Yes,No,Yes,Yes,Yes,Yes,3
1739,Yes,No,Yes,Yes,Yes,Yes,3
1740,Yes,No,Yes,Yes,Yes,Yes,3
1741,Yes,No,No,Yes,No,Yes,2
1742,Yes,No,Yes,Yes,Yes,Yes,3
1743,No,No,No,No,No,Yes,1
1744,Yes,Yes,Yes,Yes,No,No,1
1745,,,,No,Yes,Yes,2
1746,,,,No,Yes,Yes,2
1747,,,,No,Yes,Yes,2
1748,,,,No,,Yes,1
1749,,,,No,Yes,,1
1750,,,,No,Yes,,1
1751,,,,No,,Yes,1
1752,,,,No,Yes,Yes,2
1753,,,,No,Yes,,1
1754,,,,No,Yes,Yes,2
1755,,,,No,Yes,Yes,2
1756,,,,No,Yes,Yes,2
1757,,,,No,Yes,Yes,2
1758,,,,No,Yes,,1
1759,,,,No,Yes,Yes,2
1760,,,,No,Yes,Yes,2
1761,,,,No,Yes,Yes,2
1762,,,,No,Yes,Yes,2
1763,,,,No,Yes,Yes,2
1764,,,,No,Yes,Yes,2
1765,,,,No,Yes,,1
1766,,,,No,,Yes,1
1767,,,,No,Yes,Yes,2
1768,,,,No,Yes,,1
1769,,,,No,,Yes,1
1770,,,,No,,Yes,1
1771,,,,No,Yes,Yes,2
1772,,,,No,,Yes,1
1773,,,,No,Yes,Yes,2
1774,,,,No,,Yes,1
1775,,,,No,,Yes,1
1776,,,,No,Yes,Yes,2
1777,,,,No,Yes,,1
1778,,,,No,Yes,Yes,2
1779,,,,No,Yes,Yes,2
1780,,,,No,Yes,Yes,2
1781,,,,No,Yes,,1
1782,,,Yes,Yes,Yes,,2
1783,,,,No,Yes,Yes,2
1784,,,,No,Yes,,1
1785,,,,No,,Yes,1
1786,,,,No,Yes,Yes,2
1787,,,,No,,Yes,1
1788,,,Yes,Yes,,Yes,2
1789,Yes,,Yes,Yes,Yes,Yes,3
1790,,,,No,,Yes,1
1791,,,Yes,Yes,,Yes,2
1792,,,,No,,Yes,1
1793,Yes,,,Yes,Yes,Yes,3
1794,Yes,,,Yes,Yes,Yes,3
1795,,,,No,,Yes,1
1796,,,,No,Yes,,1
1797,,,,No,Yes,,1
1798,,,,No,,Yes,1
1799,,,,No,Yes,,1
1800,,,Yes,Yes,,Yes,2
1801,,,,No,Yes,Yes,2
1802,,,,No,Yes,Yes,2
1803,,,,No,Yes,,1
1804,,,,No,Yes,,1
1805,Yes,,,Yes,Yes,Yes,3
1806,,,,No,Yes,,1
1807,,,,No,Yes,Yes,2
1808,,,,No,Yes,,1
1809,,,,No,Yes,Yes,2
1810,,,,No,Yes,,1
1811,,,,No,Yes,,1
1812,Yes,,,Yes,Yes,Yes,3
1813,,,,No,,Yes,1
1814,,,,No,Yes,,1
1815,,,,No,Yes,,1
1816,,,,No,Yes,,1
1817,,,,No,,Yes,1
1818,Yes,,,Yes,Yes,Yes,3
1819,,,,No,Yes,,1
1820,Yes,,Yes,Yes,Yes,Yes,3
1821,Yes,,,Yes,Yes,Yes,3
1822,Yes,,,Yes,Yes,Yes,3
1823,,,,No,Yes,,1
1824,,,,No,Yes,,1
1825,,,,No,,Yes,1
1826,,,,No,Yes,,1
1827,Yes,,Yes,Yes,Yes,Yes,3
1828,,,,No,Yes,Yes,2
1829,,,,No,Yes,,1
1830,,,Yes,Yes,,Yes,2
1831,,,,No,Yes,Yes,2
1832,,,,No,Yes,Yes,2
1833,,,,No,Yes,Yes,2
1834,,,Yes,Yes,Yes,,2
1835,,,,No,Yes,Yes,2
1836,,,,No,,Yes,1
1837,,,,No,Yes,Yes,2
1838,,,,No,,Yes,1
1839,,,,No,Yes,Yes,2
1840,,,,No,Yes,,1
1841,,,,No,Yes,,1
1842,,,,No,Yes,,1
1843,,,,No,Yes,Yes,2
1844,Yes,,,Yes,Yes,Yes,3
1845,,,,No,,Yes,1
1846,,,,No,,Yes,1
1847,,,,No,Yes,,1
1848,,,,No,Yes,Yes,2
1849,,,,No,Yes,,1
1850,,,,No,,Yes,1
1851,,,,No,Yes,Yes,2
1852,,,Yes,Yes,,Yes,2
1853,,,,No,,Yes,1
1854,,,,No,Yes,Yes,2
1855,,,,No,Yes,,1
1856,,,,No,Yes,,1
1857,,,,No,,Yes,1
1858,,,,No,,Yes,1
1859,,,,No,Yes,,1
1860,Yes,,,Yes,Yes,Yes,3
1861,,,,No,Yes,Yes,2
1862,,,,No,Yes,Yes,2
1863,,,,No,Yes,,1
1864,,,,No,Yes,,1
1865,,,,No,Yes,Yes,2
1866,,,,No,Yes,Yes,2
1867,,,,No,,Yes,1
1868,,,,No,,Yes,1
1869,,,,No,Yes,Yes,2
1870,,,,No,,Yes,1
1871,,,,No,Yes,Yes,2
1872,,,,No,,Yes,1
1873,,,,No,Yes,Yes,2
1874,,,,No,,Yes,1
1875,,,,No,Yes,Yes,2
1876,,,,No,,Yes,1
1877,,,,No,,Yes,1
1878,,,,No,Yes,Yes,2
1879,,,,No,Yes,Yes,2
1880,,,,No,,Yes,1
1881,,,,No,,Yes,1
1882,,,,No,Yes,Yes,2
1883,,,,No,,Yes,1
1884,,,,No,,Yes,1
1885,,,,No,,Yes,1
1886,,,,No,,Yes,1
1887,,,,No,,Yes,1
1888,,,,No,,Yes,1
1889,,,,No,Yes,Yes,2
1890,,,,No,,Yes,1
1891,,,,No,,Yes,1
1892,,,,No,,Yes,1
1893,,,,No,Yes,Yes,2
1894,,,,No,,Yes,1
1895,,,,No,Yes,Yes,2
1896,,,,No,,Yes,1
1897,,,Yes,Yes,,Yes,2
1898,,,,No,,Yes,1
1899,,,,No,,Yes,1
1900,,,,No,Yes,Yes,2
1901,,,,No,Yes,Yes,2
1902,,,,No,Yes,Yes,2
1903,,,,No,,Yes,1
1904,,,,No,,Yes,1
1905,,,,No,,Yes,1
1906,,,,No,,Yes,1
1907,,,,No,Yes,Yes,2
1908,,,,No,,Yes,1
1909,,,,No,Yes,,1
1910,,,,No,,Yes,1
1911,,,,No,Yes,Yes,2
1912,,,,No,Yes,Yes,2
1913,,,,No,,Yes,1
1914,,,,No,Yes,,1
1915,,,,No,,Yes,1
1916,,,,No,Yes,Yes,2
1917,,,,No,Yes,Yes,2
1918,,,,No,,Yes,1
1919,,,,No,,Yes,1
1920,,,,No,,Yes,1
1921,,,,No,Yes,,1
1922,,,,No,,Yes,1
1923,,,,No,,Yes,1
1924,,,,No,,Yes,1
1925,,,,No,Yes,Yes,2
1926,,,,No,,Yes,1
1927,,,,No,Yes,Yes,2
1928,,,,No,,Yes,1
1929,,,,No,,Yes,1
1930,,,,No,,Yes,1
1931,,,,No,,Yes,1
1932,,,,No,,Yes,1
1933,,,,No,,Yes,1
1934,,,,No,,Yes,1
1935,,,,No,Yes,Yes,2
1936,,,,No,,Yes,1
1937,,,,No,,Yes,1
1938,,,,No,,Yes,1
1939,,,,No,Yes,Yes,2
1940,,,,No,,Yes,1
1941,,,,No,Yes,,1
1942,,,,No,,Yes,1
1943,,,,No,Yes,,1
1944,,,,No,Yes,Yes,2
1945,,,,No,Yes,Yes,2
1946,,,,No,,Yes,1
1947,,,,No,,Yes,1
1948,,,,No,,Yes,1
1949,,,,No,,Yes,1
1950,,,,No,,Yes,1
1951,,,,No,Yes,Yes,2
1952,,,,No,Yes,Yes,2
1953,,,,No,,Yes,1
1954,,,,No,Yes,Yes,2
1955,,,,No,Yes,Yes,2
1956,,,,No,Yes,Yes,2
1957,,,,No,Yes,Yes,2
1958,,,,No,,Yes,1
1959,,,,No,,Yes,1
1960,,,,No,Yes,Yes,2
1961,,,,No,,Yes,1
1962,,,,No,,Yes,1
1963,,,,No,Yes,Yes,2
1964,,,,No,Yes,Yes,2
1965,,,,No,Yes,Yes,2
1966,,,,No,,Yes,1
1967,,,,No,,Yes,1
1968,,,,No,,Yes,1
1969,,,,No,,Yes,1
1970,,,,No,,Yes,1
1971,,,,No,,Yes,1
1972,,,,No,,Yes,1
1973,,,,No,Yes,Yes,2
1974,,,Yes,Yes,Yes,Yes,3
1975,,,,No,Yes,,1
1976,,,,No,Yes,Yes,2
1977,,,,No,,Yes,1
1978,,,,No,Yes,,1
1979,,,,No,,Yes,1
1980,,,,No,,Yes,1
1981,,,,No,,Yes,1
1982,,,,No,,Yes,1
1983,,,,No,Yes,Yes,2
1984,,,,No,,Yes,1
1985,,,,No,,Yes,1
1986,,,,No,,Yes,1
1987,,,,No,,Yes,1
1988,,,,No,Yes,Yes,2
1989,,,,No,Yes,Yes,2
1990,,,,No,,Yes,1
1991,,,,No,,Yes,1
1992,,,,No,,Yes,1
1993,Yes,,,Yes,Yes,Yes,3
1994,,,,No,Yes,Yes,2
1995,,,,No,Yes,,1
1996,,,,No,,Yes,1
1997,,,,No,,Yes,1
1998,,,,No,Yes,Yes,2
1999,,,,No,Yes,Yes,2
2000,,,,No,,Yes,1
2001,,,,No,Yes,Yes,2
2002,,,,No,Yes,Yes,2
2003,,,,No,,,0
2004,,,,No,Yes,Yes,2
2005,,,,No,,Yes,1
2006,,,,No,,Yes,1
2007,,,,No,Yes,Yes,2
2008,,,,No,Yes,,1
2009,,,,No,Yes,Yes,2
2010,,,,No,Yes,Yes,2
2011,,,,No,,Yes,1
2012,,,,No,,Yes,1
2013,,,,No,,Yes,1
2014,,,,No,,Yes,1
2015,,,,No,,Yes,1
2016,,,,No,Yes,,1
2017,,,,No,Yes,Yes,2
2018,,,,No,Yes,Yes,2
2019,,,,No,Yes,,1
2020,,,,No,Yes,,1
2021,,,,No,Yes,Yes,2
2022,,,,No,,Yes,1
2023,,,,No,,Yes,1
2024,,,,No,,Yes,1
2025,,,,No,,Yes,1
2026,,,,No,,Yes,1
2027,,,,No,Yes,Yes,2
2028,,,,No,,Yes,1
2029,,,,No,,Yes,1
2030,,,,No,Yes,,1
2031,,,,No,Yes,,1
2032,,,,No,Yes,,1
2033,,,,No,Yes,,1
2034,,,,No,Yes,,1
2035,,,,No,Yes,,1
2036,,,,No,Yes,,1
2037,,,,No,Yes,,1
2038,,,,No,Yes,,1
2039,,,,No,Yes,Yes,2
2040,,,,No,Yes,,1
2041,,,,No,Yes,,1
2042,,,,No,Yes,,1
2043,,,,No,Yes,,1
2044,,,,No,Yes,,1
2045,,,,No,Yes,Yes,2
2046,,,,No,Yes,,1
2047,,,,No,Yes,,1
2048,,,,No,Yes,,1
2049,,,,No,Yes,Yes,2
2050,,,,No,,Yes,1
2051,,,,No,Yes,,1
2052,,,,No,,Yes,1
2053,,,,No,,Yes,1
2054,,,,No,Yes,,1
2055,,,,No,Yes,,1
2056,,,,No,Yes,,1
2057,,,,No,Yes,,1
2058,,,,No,Yes,,1
2059,,,,No,Yes,,1
2060,,,,No,Yes,,1
2061,,,,No,Yes,,1
2062,,,,No,Yes,,1
2063,,,,No,,Yes,1
2064,,,,No,Yes,,1
2065,,,,No,Yes,,1
2066,,,,No,Yes,,1
2067,,,,No,Yes,,1
2068,,,,No,Yes,,1
2069,,,,No,Yes,,1
2070,,,,No,Yes,Yes,2
2071,,,,No,Yes,,1
2072,,,,No,Yes,Yes,2
2073,,,,No,Yes,,1
2074,,,,No,Yes,,1
2075,,,,No,Yes,,1
2076,,,,No,Yes,,1
2077,,,Yes,Yes,Yes,,2
2078,,,,No,Yes,,1
2079,,,,No,Yes,Yes,2
2080,,,,No,Yes,,1
2081,,,,No,Yes,,1
2082,,,,No,Yes,,1
2083,,,,No,Yes,,1
2084,,,,No,,Yes,1
2085,,,,No,Yes,Yes,2
2086,,,,No,Yes,Yes,2
2087,Yes,,,Yes,Yes,Yes,3
2088,Yes,,Yes,Yes,Yes,Yes,3
2089,,,,No,Yes,,1
2090,,,,No,Yes,,1
2091,,,,No,Yes,,1
2092,,,,No,Yes,,1
2093,,,,No,Yes,,1
2094,,,,No,Yes,,1
2095,,,,No,Yes,,1
2096,,,,No,Yes,,1
2097,,,,No,Yes,,1
2098,,,,No,Yes,,1
2099,,,,No,Yes,,1
2100,,,,No,Yes,,1
2101,,,,No,Yes,,1
2102,,,,No,Yes,,1
2103,Yes,,,Yes,Yes,Yes,3
2104,,,,No,Yes,,1
2105,,,,No,Yes,,1
2106,,,,No,Yes,,1
2107,,,,No,,Yes,1
2108,,,,No,Yes,Yes,2
2109,,,,No,Yes,,1
2110,,,,No,Yes,,1
2111,,,,No,,Yes,1
2112,,,,No,,Yes,1
2113,,,,No,Yes,,1
2114,,,,No,Yes,,1
2115,,,,No,Yes,,1
2116,,,,No,Yes,,1
2117,,,,No,Yes,,1
2118,,,,No,Yes,,1
2119,,,,No,Yes,,1
2120,,,,No,,,0
2121,,,,No,Yes,,1
2122,,,,No,Yes,,1
2123,,,,No,Yes,,1
2124,,,,No,Yes,Yes,2
2125,,,,No,Yes,,1
2126,,,,No,Yes,,1
2127,,,,No,,Yes,1
2128,,,,No,Yes,,1
2129,,,,No,Yes,Yes,2
2130,,,,No,Yes,,1
2131,,,,No,Yes,,1
2132,,,,No,Yes,,1
2133,,,,No,,,0
2134,,,,No,Yes,Yes,2
2135,,,,No,Yes,Yes,2
2136,,,,No,Yes,Yes,2
2137,,,,No,Yes,,1
2138,,,,No,Yes,,1
2139,,,,No,Yes,,1
2140,,,,No,Yes,,1
2141,,,,No,Yes,,1
2142,,,,No,Yes,,1
2143,,,,No,Yes,,1
2144,,,,No,Yes,,1
2145,,,,No,Yes,,1
2146,,,,No,Yes,,1
2147,,,,No,Yes,,1
2148,,,,No,,,0
2149,,,,No,Yes,,1
2150,,,,No,Yes,,1
2151,,,,No,Yes,Yes,2
2152,,,,No,Yes,Yes,2
2153,,,,No,Yes,,1
2154,,,,No,Yes,,1
2155,,,,No,Yes,Yes,2
2156,,,,No,Yes,,1
2157,,,,No,Yes,,1
2158,,,,No,,Yes,1
2159,,,,No,,Yes,1
2160,,,,No,Yes,,1
2161,,,,No,Yes,Yes,2
2162,,,,No,Yes,Yes,2
2163,,,,No,Yes,Yes,2
2164,,,,No,Yes,Yes,2
2165,,,,No,Yes,,1
2166,,,,No,Yes,,1
2167,,,,No,Yes,,1
2168,Yes,,,Yes,Yes,Yes,3
2169,,,,No,Yes,Yes,2
2170,,,,No,Yes,Yes,2
2171,,,,No,Yes,Yes,2
2172,,,,No,Yes,Yes,2
2173,,,,No,,Yes,1
2174,,,,No,Yes,,1
2175,,,,No,Yes,Yes,2
2176,,,,No,,Yes,1
2177,,,,No,,Yes,1
2178,,,,No,Yes,Yes,2
2179,,,,No,Yes,,1
2180,,,,No,Yes,Yes,2
2181,,,,No,Yes,,1
2182,,,,No,Yes,Yes,2
2183,,,,No,Yes,,1
2184,,,,No,Yes,Yes,2
2185,,,,No,Yes,,1
2186,,,,No,,,0
2187,,,,No,Yes,,1
2188,,,,No,Yes,,1
2189,,,,No,Yes,Yes,2
2190,,,,No,,,0
2191,,,,No,,Yes,1
2192,,,,No,Yes,Yes,2
2193,,,,No,Yes,Yes,2
2194,,,,No,Yes,Yes,2
2195,,,,No,,Yes,1
2196,,,,No,Yes,,1
2197,,,,No,Yes,,1
2198,,,,No,Yes,,1
2199,,,,No,Yes,,1
2200,,,,No,Yes,,1
2201,,,,No,Yes,Yes,2
2202,,,,No,Yes,Yes,2
2203,,,,No,Yes,Yes,2
2204,,,,No,Yes,,1
2205,,,,No,Yes,Yes,2
2206,,,,No,Yes,Yes,2
2207,,,,No,Yes,Yes,2
2208,,,,No,,,0
2209,,,,No,Yes,,1
2210,,,,No,Yes,,1
2211,,,,No,Yes,,1
2212,,,,No,Yes,Yes,2
2213,,,,No,Yes,Yes,2
2214,,,,No,Yes,Yes,2
2215,,,,No,Yes,Yes,2
2216,,,,No,Yes,Yes,2
2217,,,,No,Yes,,1
2218,,,,No,Yes,Yes,2
2219,,,,No,Yes,,1
2220,,,,No,Yes,,1
2221,,,,No,Yes,,1
2222,,,,No,Yes,,1
2223,,,,No,Yes,,1
2224,,,,No,Yes,Yes,2
2225,,,,No,Yes,Yes,2
2226,,,,No,Yes,Yes,2
2227,Yes,,,Yes,Yes,Yes,3
2228,,,,No,,Yes,1
2229,,,,No,,Yes,1
2230,,,,No,,Yes,1
2231,,,,No,,Yes,1
2232,,,,No,Yes,Yes,2
2233,,,,No,Yes,,1
2234,,,,No,,Yes,1
2235,,,,No,,Yes,1
2236,,,,No,Yes,,1
2237,,,,No,Yes,,1
2238,,,Yes,Yes,Yes,,2
2239,,,,No,Yes,,1
2240,,,,No,Yes,Yes,2
2241,,,,No,Yes,,1
2242,,,,No,Yes,Yes,2
2243,,,,No,Yes,Yes,2
2244,,,,No,Yes,,1
2245,,,,No,Yes,,1
2246,,,,No,Yes,,1
2247,,,,No,Yes,,1
2248,,,,No,Yes,Yes,2
2249,,,,No,Yes,,1
2250,,,,No,Yes,,1
2251,,,,No,Yes,Yes,2
2252,,,,No,Yes,Yes,2
2253,,,,No,Yes,Yes,2
2254,,,,No,Yes,,1
2255,,,,No,,,0
2256,,,,No,Yes,,1
2257,,,,No,,,0
2258,,,,No,Yes,Yes,2
2259,,,,No,Yes,,1
2260,,,,No,Yes,Yes,2
2261,,,,No,Yes,Yes,2
2262,,,,No,Yes,,1
2263,,,,No,,Yes,1
2264,,,,No,Yes,Yes,2
2265,,,,No,Yes,,1
2266,,,,No,Yes,,1
2267,,,,No,Yes,Yes,2
2268,,,,No,Yes,,1
2269,,,,No,Yes,,1
2270,,,,No,Yes,,1
2271,,,,No,Yes,Yes,2
2272,,,,No,Yes,,1
2273,,,,No,Yes,Yes,2
2274,,,,No,Yes,,1
2275,,,,No,Yes,,1
2276,,,,No,Yes,Yes,2
2277,,,,No,Yes,Yes,2
2278,,,,No,Yes,,1
2279,,,,No,Yes,Yes,2
2280,,,,No,Yes,,1
2281,,,,No,,Yes,1
2282,,,,No,,Yes,1
2283,,,,No,Yes,,1
2284,,,,No,Yes,,1
2285,,,,No,Yes,,1
2286,,,,No,Yes,,1
2287,,,,No,Yes,Yes,2
2288,,,,No,Yes,Yes,2
2289,,,,No,Yes,,1
2290,,,,No,,Yes,1
2291,,,,No,Yes,,1
2292,,,,No,Yes,,1
2293,,,,No,Yes,,1
2294,,,,No,Yes,Yes,2
2295,,,,No,Yes,Yes,2
2296,Yes,,,Yes,Yes,Yes,3
2297,,,,No,Yes,,1
2298,,,,No,Yes,,1
2299,,,,No,Yes,,1
2300,,,,No,Yes,,1
2301,,,,No,Yes,,1
2302,,,,No,Yes,,1
2303,,,,No,Yes,Yes,2
2304,,,,No,,Yes,1
2305,,,,No,Yes,Yes,2
2306,,,,No,,Yes,1
2307,,,,No,Yes,Yes,2
2308,,,,No,Yes,Yes,2
2309,,,,No,Yes,Yes,2
2310,,,,No,Yes,Yes,2
2311,,,,No,Yes,,1
2312,,,,No,Yes,,1
2313,,,,No,Yes,,1
2314,,,,No,Yes,,1
2315,,,,No,Yes,,1
2316,,,,No,Yes,,1
2317,,,,No,Yes,,1
2318,,,,No,Yes,Yes,2
2319,,,,No,Yes,Yes,2
2320,,,,No,Yes,Yes,2
2321,,,,No,Yes,,1
2322,,,,No,Yes,Yes,2
2323,,,,No,Yes,Yes,2
2324,,,,No,Yes,Yes,2
2325,,,,No,Yes,,1
2326,,,,No,Yes,,1
2327,,,,No,Yes,,1
2328,,,,No,Yes,,1
2329,,,,No,Yes,Yes,2
2330,,,,No,Yes,,1
2331,,,,No,Yes,,1
2332,,,,No,,Yes,1
2333,,,,No,Yes,Yes,2
2334,,,,No,Yes,Yes,2
2335,,,,No,Yes,Yes,2
2336,,,,No,Yes,,1
2337,,,,No,Yes,,1
2338,,,,No,Yes,,1
2339,,,,No,Yes,,1
2340,,,,No,,Yes,1
2341,,,,No,Yes,,1
2342,,,Yes,Yes,Yes,,2
2343,,,,No,Yes,,1
2344,,,,No,,Yes,1
2345,,,,No,Yes,,1
2346,,,,No,Yes,,1
2347,,,,No,Yes,,1
2348,,,Yes,Yes,Yes,,2
2349,Yes,,Yes,Yes,Yes,,2
2350,,,,No,Yes,Yes,2
2351,,,,No,Yes,,1
2352,,,,No,Yes,Yes,2
2353,,,,No,Yes,,1
2354,Yes,,Yes,Yes,Yes,Yes,3
2355,,,,No,Yes,Yes,2
2356,Yes,,Yes,Yes,Yes,,2
2357,,,,No,Yes,,1
2358,,,,No,Yes,,1
2359,Yes,,Yes,Yes,Yes,Yes,3
2360,,,,No,Yes,,1
2361,,,,No,,Yes,1
2362,,,,No,Yes,,1
2363,Yes,,Yes,Yes,Yes,Yes,3
2364,Yes,,Yes,Yes,Yes,Yes,3
2365,,,Yes,Yes,Yes,Yes,3
2366,,,Yes,Yes,Yes,Yes,3
2367,,,,No,Yes,Yes,2
2368,,,,No,Yes,,1
2369,,,,No,Yes,Yes,2
2370,,,,No,Yes,,1
2371,,,,No,Yes,Yes,2
2372,,,,No,Yes,Yes,2
2373,,,,No,Yes,,1
2374,Yes,,Yes,Yes,Yes,Yes,3
2375,,,,No,Yes,Yes,2
2376,Yes,,Yes,Yes,Yes,Yes,3
2377,Yes,,Yes,Yes,Yes,Yes,3
2378,,,,No,,Yes,1
2379,Yes,,Yes,Yes,Yes,Yes,3
2380,Yes,,Yes,Yes,Yes,Yes,3
2381,,,,No,Yes,,1
2382,,,,No,Yes,,1
2383,,,,No,Yes,,1
2384,,,,No,Yes,,1
2385,,,,No,Yes,,1
2386,,,,No,Yes,,1
2387,,,,No,Yes,,1
2388,Yes,,Yes,Yes,Yes,Yes,3
2389,Yes,,Yes,Yes,Yes,Yes,3
2390,Yes,,,Yes,Yes,Yes,3
2391,,,,No,,Yes,1
2392,,,,No,Yes,Yes,2
2393,,,,No,Yes,Yes,2
2394,Yes,,Yes,Yes,Yes,Yes,3
2395,Yes,,Yes,Yes,Yes,Yes,3
2396,,,,No,,Yes,1
2397,,,,No,Yes,,1
2398,Yes,,Yes,Yes,Yes,Yes,3
2399,Yes,,Yes,Yes,Yes,Yes,3
2400,,,,No,Yes,Yes,2
2401,,,,No,Yes,,1
2402,,,,No,Yes,Yes,2
2403,,,,No,Yes,,1
2404,,,,No,Yes,,1
2405,,,,No,Yes,,1
2406,,,,No,Yes,,1
2407,,,,No,Yes,,1
2408,,,,No,Yes,,1
2409,Yes,,Yes,Yes,Yes,Yes,3
2410,Yes,,Yes,Yes,Yes,Yes,3
2411,,,,No,Yes,,1
2412,Yes,,Yes,Yes,Yes,Yes,3
2413,Yes,,Yes,Yes,Yes,Yes,3
2414,,,,No,Yes,,1
2415,Yes,,Yes,Yes,Yes,Yes,3
2416,Yes,,Yes,Yes,Yes,Yes,3
2417,,,,No,Yes,Yes,2
2418,Yes,,,Yes,Yes,Yes,3
2419,,,,No,Yes,Yes,2
2420,,,,No,Yes,Yes,2
2421,Yes,,Yes,Yes,Yes,Yes,3
2422,Yes,,,Yes,Yes,Yes,3
2423,,,,No,Yes,,1
2424,,,,No,Yes,Yes,2
2425,,,,No,Yes,Yes,2
2426,,,,No,Yes,,1
2427,,,,No,Yes,,1
2428,Yes,,Yes,Yes,Yes,Yes,3
2429,,,,No,Yes,Yes,2
2430,,,,No,Yes,,1
2431,,,,No,Yes,Yes,2
2432,,,,No,Yes,,1
2433,,,,No,Yes,Yes,2
2434,,,,No,Yes,,1
2435,,,,No,Yes,,1
2436,,,,No,Yes,,1
2437,,,,No,Yes,,1
2438,,,,No,Yes,,1
2439,,,Yes,Yes,Yes,Yes,3
2440,Yes,,Yes,Yes,Yes,Yes,3
2441,,,,No,Yes,,1
2442,Yes,,Yes,Yes,Yes,Yes,3
2443,,,,No,Yes,,1
2444,,,,No,Yes,,1
2445,,,,No,Yes,,1
2446,,,,No,Yes,Yes,2
2447,,,,No,Yes,,1
2448,,,,No,Yes,Yes,2
2449,,,,No,Yes,,1
2450,,,,No,Yes,,1
2451,,,,No,Yes,Yes,2
2452,,,,No,Yes,,1
2453,,,,No,Yes,,1
2454,,,,No,Yes,,1
2455,,,,No,Yes,Yes,2
