clientid,quarter,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
1044637,2016 Q2,0,0,1,1
1044661,2016 Q2,1,0,1,2
1044671,2016 Q2,0,1,1,2
1044681,2016 Q2,1,1,1,3
1044706,2016 Q2,1,0,1,2
1044721,2018 Q3,0,1,1,2
1044722,2016 Q2,0,1,1,2
1044758,2016 Q2,1,0,1,2
1044764,2017 Q1,1,1,1,3
1044765,2016 Q2,1,1,1,3
1044781,2016 Q2,1,1,1,3
1044813,2017 Q1,1,1,1,3
1044827,2016 Q2,0,1,1,2
1044828,2017 Q3,1,1,1,3
1044832,2016 Q2,1,1,0,2
1044834,2017 Q1,1,1,1,3
1044835,2016 Q2,0,0,1,1
1044837,2016 Q2,0,0,1,1
1044845,2016 Q2,1,1,1,3
1044862,2016 Q2,1,1,1,3
1044887,2016 Q3,1,0,1,2
1044894,2016 Q2,0,0,1,1
1044904,2016 Q2,1,1,1,3
1044919,2016 Q2,1,0,1,2
1044924,2016 Q2,1,1,1,3
1045007,2016 Q2,0,1,1,2
1045026,2016 Q2,0,0,1,1
1045033,2016 Q2,0,0,1,1
1045038,2016 Q2,1,0,1,2
1045039,2016 Q2,1,0,1,2
1045040,2016 Q2,1,0,1,2
1045041,2016 Q2,1,0,1,2
1045042,2016 Q2,1,0,1,2
1045049,2016 Q2,1,0,1,2
1045061,2016 Q2,1,1,1,3
1045062,2016 Q2,1,0,1,2
1045063,2016 Q2,0,0,1,1
1045064,2016 Q2,1,1,1,3
1045065,2016 Q2,0,0,1,1
1045126,2016 Q2,1,0,1,2
1045127,2016 Q2,0,0,1,1
1045136,2017 Q1,1,1,1,3
1045149,2016 Q2,1,0,1,2
1045157,2016 Q2,0,0,1,1
1045184,2016 Q2,1,1,1,3
1045207,2016 Q2,1,1,1,3
1045209,2016 Q2,1,1,1,3
1045212,2016 Q2,0,0,1,1
1045218,2016 Q2,1,1,1,3
1045219,2016 Q2,1,1,1,3
1045229,2016 Q2,1,0,1,2
1045232,2017 Q2,1,1,0,2
1045305,2016 Q2,1,0,1,2
1045319,2016 Q2,1,0,1,2
1045326,2016 Q2,1,1,1,3
1045339,2016 Q2,1,1,1,3
1045340,2016 Q4,1,1,1,3
1045341,2016 Q2,1,1,1,3
1045351,2016 Q2,1,1,1,3
1045354,2017 Q3,1,1,1,3
1045355,2016 Q2,1,1,0,2
1045357,2016 Q2,1,1,0,2
1045358,2016 Q2,1,1,1,3
1045360,2017 Q1,1,1,1,3
1045362,2016 Q2,1,1,0,2
1045363,2016 Q2,1,1,0,2
1045369,2016 Q2,1,1,0,2
1045373,2016 Q2,1,1,0,2
1045374,2016 Q2,1,1,0,2
1045387,2016 Q2,0,1,1,2
1045388,2017 Q1,1,1,1,3
1045394,2016 Q2,1,1,0,2
1045407,2016 Q2,0,1,1,2
1045408,2016 Q2,0,1,0,1
1045413,2016 Q2,0,1,1,2
1045414,2017 Q1,0,0,1,1
1045415,2016 Q2,0,1,0,1
1045417,2016 Q2,1,1,1,3
1045426,2017 Q1,0,1,1,2
1045431,2016 Q2,1,1,1,3
1045433,2016 Q2,0,1,1,2
1045434,2016 Q2,1,1,1,3
1045435,2016 Q2,0,1,0,1
1045436,2016 Q2,0,1,1,2
1045437,2016 Q2,1,1,1,3
1045440,2016 Q2,0,1,1,2
1045444,2016 Q2,1,1,1,3
1045445,2016 Q2,0,1,1,2
1045446,2016 Q2,0,1,1,2
1045449,2016 Q2,0,1,1,2
1045450,2016 Q2,0,1,0,1
1045451,2016 Q2,0,1,0,1
1045452,2016 Q2,1,1,1,3
1045453,2016 Q2,0,1,1,2
1045454,2016 Q2,0,1,0,1
1045459,2016 Q2,0,1,0,1
1045460,2016 Q2,0,1,0,1
1045462,2016 Q2,0,1,1,2
1045463,2016 Q2,0,1,1,2
1045464,2016 Q2,0,1,0,1
1045466,2016 Q2,1,1,1,3
1045469,2016 Q2,1,1,1,3
1045484,2016 Q2,1,1,1,3
1045485,2016 Q2,0,1,0,1
1045498,2016 Q2,1,1,1,3
1045503,2016 Q2,1,1,1,3
1045505,2016 Q2,0,1,0,1
1045509,2016 Q2,0,1,0,1
1045518,2016 Q2,1,1,1,3
1045519,2017 Q1,1,1,1,3
1045520,2016 Q2,0,1,0,1
1045521,2016 Q2,1,1,1,3
1045523,2017 Q3,1,1,1,3
1045524,2016 Q2,1,1,1,3
1045525,2016 Q2,1,1,1,3
1045526,2016 Q2,1,1,1,3
1045528,2018 Q1,1,1,1,3
1045537,2016 Q2,1,1,1,3
1045539,2017 Q1,1,1,1,3
1045540,2016 Q2,0,1,0,1
1045541,2016 Q2,0,1,1,2
1045542,2016 Q4,0,0,0,0
1045544,2016 Q2,1,1,1,3
1045545,2016 Q2,1,1,1,3
1045546,2016 Q2,0,1,1,2
1045547,2016 Q2,0,1,0,1
1045551,2016 Q2,1,1,1,3
1045553,2016 Q2,0,1,0,1
1045568,2016 Q2,1,1,1,3
1045569,2016 Q2,0,1,1,2
1045574,2016 Q2,0,1,0,1
1045587,2016 Q4,1,1,1,3
1045621,2016 Q2,1,1,1,3
1045644,2016 Q2,0,1,0,1
1045876,2016 Q3,0,0,1,1
1045882,2016 Q2,1,1,1,3
1045898,2016 Q2,1,0,1,2
1045900,2016 Q2,1,0,1,2
1045942,2016 Q2,1,1,1,3
1045964,2016 Q3,1,1,1,3
1045968,2016 Q2,1,1,1,3
1045973,2018 Q3,1,1,1,3
1045979,2016 Q2,0,1,1,2
1045992,2016 Q2,1,1,1,3
1046012,2016 Q2,1,1,1,3
1046017,2016 Q2,1,1,1,3
1046027,2017 Q1,0,1,1,2
1046042,2016 Q2,0,1,1,2
1046046,2016 Q2,0,1,0,1
1046050,2016 Q2,0,1,1,2
1046051,2017 Q1,1,1,1,3
1046052,2016 Q2,1,1,1,3
1046053,2017 Q4,0,1,1,2
1046065,2016 Q4,1,1,1,3
1046067,2016 Q2,0,1,0,1
1046086,2016 Q2,1,1,1,3
1046090,2016 Q2,1,1,1,3
1046093,2016 Q2,1,1,1,3
1046096,2016 Q3,1,1,1,3
1046097,2016 Q2,1,1,1,3
1046112,2016 Q2,1,1,1,3
1046119,2016 Q2,1,1,1,3
1046123,2016 Q2,1,1,1,3
1046136,2016 Q2,1,1,1,3
1046158,2016 Q4,1,1,1,3
1046189,2017 Q1,0,1,1,2
1046193,2017 Q1,0,1,1,2
1046202,2016 Q2,0,0,1,1
1046204,2016 Q2,1,1,1,3
1046210,2016 Q4,1,1,1,3
1046220,2017 Q1,1,1,1,3
1046223,2016 Q2,1,1,1,3
1046226,2016 Q2,1,1,1,3
1046227,2017 Q2,0,1,1,2
1046253,2016 Q2,0,0,1,1
1046254,2016 Q2,1,1,1,3
1046272,2016 Q2,1,1,1,3
1046293,2016 Q2,1,1,1,3
1046304,2017 Q1,1,1,1,3
1046350,2016 Q2,0,1,1,2
1046357,2016 Q1,0,1,1,2
1046368,2016 Q2,1,1,1,3
1046376,2016 Q2,1,1,1,3
1046377,2016 Q2,1,1,1,3
1046457,2016 Q2,0,1,1,2
1046480,2016 Q2,1,1,1,3
1046490,2016 Q2,1,1,1,3
1046498,2016 Q2,0,1,1,2
1046511,2017 Q2,1,0,1,2
1046514,2016 Q2,1,1,1,3
1046553,2017 Q2,1,1,1,3
1046577,2016 Q2,0,1,0,1
1046627,2016 Q2,0,1,1,2
1046641,2016 Q2,1,1,1,3
1046642,2017 Q1,1,0,1,2
1046651,2017 Q1,0,1,1,2
1046656,2016 Q2,0,1,1,2
1046657,2016 Q2,0,1,1,2
1046669,2018 Q2,1,0,1,2
1046676,2016 Q2,1,1,1,3
1046690,2016 Q2,0,0,1,1
1046696,2016 Q3,1,1,1,3
1046704,2016 Q2,1,1,1,3
1046724,2016 Q2,0,1,1,2
1046743,2016 Q2,1,1,1,3
1046744,2016 Q2,0,0,1,1
1046755,2016 Q2,1,1,1,3
1046768,2016 Q2,1,1,1,3
1046800,2017 Q2,1,1,1,3
1046822,2017 Q1,1,1,0,2
1046824,2016 Q2,0,1,1,2
1046831,2016 Q2,1,1,1,3
1046832,2016 Q2,0,0,1,1
1046834,2016 Q2,1,1,1,3
1046835,2016 Q3,1,1,1,3
1046837,2016 Q2,0,0,1,1
1046845,2016 Q2,1,0,1,2
1046849,2016 Q4,0,0,0,0
1046853,2016 Q2,1,1,1,3
1046858,2016 Q2,1,1,1,3
1046859,2017 Q1,1,0,1,2
1046868,2016 Q2,1,0,1,2
1046876,2016 Q2,1,1,1,3
1046887,2016 Q2,1,1,1,3
1046889,2016 Q2,1,0,1,2
1046894,2017 Q1,1,1,1,3
1046898,2016 Q2,1,0,1,2
1046900,2016 Q2,1,1,1,3
1046903,2016 Q2,1,1,1,3
1046904,2016 Q2,0,0,1,1
1046919,2016 Q2,0,1,1,2
1046926,2016 Q3,1,0,1,2
1046932,2016 Q2,1,0,1,2
1046935,2016 Q3,0,1,1,2
1046946,2016 Q2,1,1,1,3
1046947,2017 Q1,1,1,1,3
1046976,2016 Q2,0,1,1,2
1046978,2016 Q2,1,1,1,3
1046981,2018 Q1,1,1,1,3
1046982,2017 Q1,1,1,1,3
1046984,2016 Q4,1,1,1,3
1047005,2018 Q4,1,1,1,3
1047006,2016 Q4,1,1,1,3
1047024,2017 Q1,0,1,1,2
1047029,2016 Q3,1,0,1,2
1047051,2016 Q2,0,0,1,1
1047078,2017 Q2,0,0,1,1
1047084,2016 Q2,1,1,1,3
1047086,2016 Q2,1,1,1,3
1047097,2016 Q2,1,1,1,3
1047101,2017 Q3,1,0,1,2
1047144,2016 Q3,1,0,1,2
1047151,2017 Q1,1,1,1,3
1047166,2017 Q2,0,0,1,1
1047167,2016 Q2,0,1,1,2
1047172,2016 Q2,1,1,1,3
1047175,2016 Q4,1,1,1,3
1047182,2016 Q2,1,1,1,3
1047188,2017 Q2,1,1,0,2
1047211,2017 Q1,1,1,1,3
1047214,2016 Q3,1,1,1,3
1047215,2016 Q3,1,1,0,2
1047217,2016 Q2,1,0,1,2
1047218,2016 Q2,1,1,1,3
1047220,2016 Q3,1,1,0,2
1047226,2017 Q1,0,0,1,1
1047228,2016 Q3,1,1,1,3
1047238,2016 Q2,1,1,1,3
1047240,2016 Q3,0,1,1,2
1047249,2016 Q2,1,1,1,3
1047250,2017 Q2,1,1,1,3
1047259,2016 Q4,1,1,1,3
1047288,2016 Q3,1,0,1,2
1047298,2016 Q4,1,1,1,3
1047314,2017 Q1,1,0,1,2
1047315,2016 Q2,0,1,1,2
1047333,2016 Q2,1,1,1,3
1047406,2016 Q2,1,1,1,3
1047412,2016 Q4,1,0,0,1
1047419,2017 Q1,1,0,1,2
1047420,2016 Q3,1,1,1,3
