clientid,quarter,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
110031600002RiLoRAAV,2017 Q2,1,1,1,3
110031600002RiMIHAA3,2017 Q1,1,1,1,3
110031600002RimjOAAR,2017 Q1,1,1,1,3
110031600002RiuwFAAR,2016 Q4,1,1,1,3
110031600002RmvTxAAJ,2017 Q2,1,1,1,3
110031600002RnCycAAF,2017 Q2,1,1,1,3
110031600002RnEQLAA3,2016 Q4,1,1,1,3
110031600002RocPuAAJ,2018 Q3,1,0,0,1
110031600002Rov6eAAB,2018 Q1,1,1,1,3
110031600002Rp3O5AAJ,2017 Q4,1,1,1,3
110031600002S6VKzAAN,2018 Q2,1,1,1,3
110031600002S6vI1AAJ,2016 Q4,1,1,1,3
110031600002S7F42AAF,2016 Q4,1,1,1,3
110031600002S7T0uAAF,2017 Q4,1,1,1,3
110031600002S7fDqAAJ,2017 Q4,1,1,1,3
110031600002S8iEFAAZ,2017 Q2,1,1,1,3
110031600002SAE7dAAH,2017 Q3,1,1,1,3
110031600002SAKBIAA5,2017 Q4,1,1,1,3
110031600002SKiQ3AAL,2018 Q1,1,1,1,3
110031600002SMOT2AAP,2017 Q2,1,1,1,3
110031600002SaZc8AAF,2017 Q4,1,1,1,3
110031600002SaaKhAAJ,2018 Q2,1,1,1,3
110031600002SbpGxAAJ,2017 Q2,1,1,1,3
110031600002Sc6puAAB,2017 Q2,1,1,1,3
110031600002ScBzUAAV,2016 Q4,1,1,1,3
110031600002Sclh6AAB,2016 Q3,1,0,1,2
110031600002Sfa88AAB,2018 Q2,1,1,1,3
110031600002Sg2UsAAJ,2016 Q3,1,1,1,3
110031600002Sg7niAAB,2016 Q3,1,1,0,2
110031600002SgewiAAB,2016 Q4,1,1,1,3
110031600002SgkhkAAB,2017 Q2,1,1,1,3
110031600002SgpCfAAJ,2016 Q3,1,1,0,2
110031600002ShekXAAR,2016 Q4,1,1,1,3
110031600002ShiQNAAZ,2017 Q1,1,1,1,3
110031600002ShjVbAAJ,2017 Q4,1,1,1,3
110031600002ShqqSAAR,2017 Q3,1,1,1,3
110031600002ShsGsAAJ,2016 Q4,1,1,1,3
110031600002Si0JGAAZ,2017 Q1,1,1,1,3
110031600002T7EKCAA3,2016 Q4,1,1,1,3
110031600002T9FfJAAV,2017 Q4,1,1,1,3
110031600002T9mXhAAJ,2016 Q4,1,1,1,3
110031600002T9mfgAAB,2017 Q1,1,1,1,3
110031600002T9nq1AAB,2016 Q4,1,1,1,3
110031600002TASu6AAH,2016 Q4,1,1,1,3
110031600002TBIYXAA5,2017 Q2,1,1,1,3
110031600002TSJJBAA5,2016 Q4,1,1,1,3
110031600002TSNG5AAP,2016 Q4,1,1,1,3
110031600002TSbzzAAD,2016 Q3,1,0,1,2
110031600002TSihMAAT,2017 Q1,1,1,1,3
110031600002TT1SWAA1,2018 Q1,1,1,1,3
110031600002TT4KkAAL,2016 Q4,1,1,1,3
110031600002TT8B7AAL,2016 Q4,1,1,1,3
110031600002TTUA0AAP,2016 Q4,1,1,1,3
110031600002TU1pUAAT,2016 Q3,1,0,1,2
110031600002TU5A2AAL,2018 Q1,1,1,1,3
110031600002TUgheAAD,2017 Q1,1,1,1,3
110031600002TUihOAAT,2017 Q3,1,1,1,3
110031600002TUy5pAAD,2018 Q1,1,1,1,3
110031600002TV1GhAAL,2017 Q4,1,1,1,3
110031600002TVJErAAP,2018 Q1,1,1,1,3
110031600002TVRFrAAP,2017 Q2,1,1,1,3
110031600002TVa0yAAD,2018 Q1,1,1,1,3
110031600002TVfbVAAT,2017 Q3,1,1,1,3
110031600002TVfiWAAT,2017 Q2,1,1,1,3
110031600002TVu14AAD,2017 Q4,1,1,1,3
110031600002TWB7YAAX,2017 Q2,1,1,1,3
110031600002TWBfmAAH,2017 Q1,1,1,1,3
110031600002Tzo3rAAB,2016 Q4,1,1,1,3
110031600002TzvxLAAR,2016 Q4,1,1,1,3
110031600002U0eMkAAJ,2017 Q4,1,1,1,3
110031600002U1I4NAAV,2018 Q2,1,1,1,3
110031600002UDE6tAAH,2016 Q4,1,1,1,3
110031600002UDVnZAAX,2017 Q4,1,1,1,3
110031600002UDp0jAAD,2016 Q3,1,1,0,2
110031600002UDpVoAAL,2017 Q4,1,1,1,3
110031600002UDrzsAAD,2017 Q4,1,1,1,3
110031600002UE523AAD,2018 Q1,1,1,1,3
110031600002UEEfYAAX,2018 Q1,0,1,1,2
110031600002UELQBAA5,2016 Q3,1,1,0,2
110031600002UEabpAAD,2017 Q4,1,1,1,3
110031600002UEdsaAAD,2017 Q4,1,1,1,3
110031600002UFTqKAAX,2016 Q4,1,1,1,3
110031600002UFUQAAA5,2017 Q3,1,1,1,3
110031600002UFXcoAAH,2016 Q4,1,1,1,3
110031600002UFZVVAA5,2017 Q2,1,1,1,3
110031600002UFeMzAAL,2018 Q1,1,1,1,3
110031600002UFk6AAAT,2018 Q1,1,1,1,3
110031600002UhtGNAAZ,2018 Q2,1,1,1,3
110031600002UhvrIAAR,2017 Q2,1,1,1,3
110031600002UiIo1AAF,2017 Q2,1,1,1,3
110031600002UiKvdAAF,2017 Q3,1,1,1,3
110031600002UiyAjAAJ,2017 Q4,1,1,1,3
110031600002Uj9YaAAJ,2016 Q4,1,1,1,3
110031600002UjE2KAAV,2016 Q4,1,1,1,3
110031600002UjPGrAAN,2017 Q2,1,1,1,3
110031600002UjPqZAAV,2016 Q4,1,1,1,3
110031600002UjPtYAAV,2018 Q1,1,1,1,3
110031600002UjRORAA3,2017 Q2,1,1,1,3
110031600002Ujmt2AAB,2017 Q3,0,1,1,2
110031600002VDr2SAAT,2017 Q1,1,1,1,3
110031600002VDuP6AAL,2017 Q3,0,1,1,2
110031600002VDwNqAAL,2017 Q1,1,1,1,3
110031600002VEB3JAAX,2017 Q2,1,1,1,3
110031600002VPq7EAAT,2018 Q1,1,1,1,3
110031600002VPqKwAAL,2018 Q2,0,1,1,2
110031600002WA6giAAD,2017 Q2,1,1,1,3
110031600002WA7O1AAL,2017 Q2,1,1,1,3
110031600002WA7ZOAA1,2017 Q3,1,1,1,3
110031600002WAJXIAA5,2018 Q3,1,0,0,1
110031600002WBTocAAH,2018 Q2,1,1,1,3
110031600002WBaZuAAL,2017 Q2,1,1,1,3
110031600002WBlfuAAD,2017 Q2,1,1,1,3
110031600002WBvetAAD,2018 Q2,1,1,1,3
110031600002WC9X8AAL,2017 Q2,1,1,1,3
110031600002WCGsPAAX,2017 Q1,1,1,1,3
110031600002WCHs7AAH,2017 Q1,1,1,1,3
110031600002WCJ23AAH,2017 Q1,1,1,1,3
110031600002WCZqHAAX,2017 Q2,1,1,1,3
110031600002WChPQAA1,2018 Q3,1,0,0,1
110031600002WCsaOAAT,2018 Q1,1,1,1,3
110031600002WD3nCAAT,2017 Q3,1,1,1,3
110031600002WDBtlAAH,2016 Q4,1,1,1,3
110031600002WDCEyAAP,2018 Q2,1,1,1,3
110031600002WDdAsAAL,2018 Q2,1,1,1,3
110031600002WDjqEAAT,2018 Q2,1,1,1,3
110031600002WE1HpAAL,2017 Q3,1,1,1,3
110031600002WE87vAAD,2017 Q1,1,1,1,3
110031600002XBOBwAAP,2018 Q1,1,1,1,3
110031600002XBepcAAD,2017 Q2,1,1,1,3
110031600002XByNAAA1,2017 Q3,1,1,1,3
110031600002XC0mHAAT,2017 Q4,0,1,1,2
110031600002XC9bKAAT,2017 Q2,0,1,1,2
110031600002XCG5zAAH,2017 Q2,1,1,1,3
110031600002XCLmsAAH,2017 Q4,0,1,1,2
110031600002XCUGqAAP,2017 Q1,1,1,1,3
110031600002XCVEMAA5,2017 Q3,0,1,1,2
110031600002XCf1FAAT,2017 Q1,1,1,1,3
110031600002XCfa0AAD,2017 Q4,1,1,1,3
110031600002XClthAAD,2018 Q1,1,1,1,3
110031600002XCn1SAAT,2017 Q2,1,1,1,3
110031600002XCrSjAAL,2018 Q2,1,1,1,3
110031600002XCrUpAAL,2017 Q3,1,1,1,3
110031600002XDLirAAH,2018 Q1,1,1,1,3
110031600002XDZaIAAX,2018 Q2,1,1,1,3
110031600002XDndaAAD,2017 Q3,1,1,1,3
110031600002XDxQ6AAL,2018 Q1,1,1,1,3
110031600002XDxejAAD,2017 Q4,1,1,1,3
110031600002XEJ62AAH,2016 Q4,1,0,0,1
110031600002XEMlDAAX,2017 Q3,1,1,1,3
110031600002XErHvAAL,2018 Q2,1,1,1,3
110031600002XEs2wAAD,2017 Q4,1,1,1,3
110031600002XEwK8AAL,2017 Q1,1,1,1,3
110031600002XExaYAAT,2017 Q2,1,1,1,3
110031600002YbSBDAA3,2018 Q3,1,1,1,3
110031600002YbVYgAAN,2018 Q3,1,1,1,3
110031600002YbVuNAAV,2017 Q4,1,1,1,3
110031600002YbvAWAAZ,2017 Q2,1,1,1,3
110031600002Yc8W9AAJ,2018 Q3,1,1,1,3
110031600002YcDQnAAN,2017 Q3,1,1,1,3
110031600002YcOnPAAV,2017 Q2,1,1,1,3
110031600002YcQKMAA3,2018 Q3,1,1,1,3
110031600002YciSXAAZ,2017 Q3,0,1,1,2
110031600002YcjNqAAJ,2018 Q1,1,1,1,3
110031600002YcrvHAAR,2018 Q3,1,1,1,3
110031600002Yd9PoAAJ,2017 Q1,0,1,1,2
110031600002YdFIBAA3,2017 Q3,1,1,1,3
110031600002YdGjSAAV,2017 Q4,1,1,1,3
110031600002YdJsQAAV,2017 Q2,0,1,1,2
110031600002YdK0UAAV,2018 Q1,1,1,1,3
110031600002YdirlAAB,2017 Q1,1,1,1,3
110031600002YdnCuAAJ,2017 Q4,1,1,1,3
110031600002YdpufAAB,2018 Q1,1,1,1,3
110031600002Ydt9dAAB,2017 Q4,1,1,1,3
110031600002YdtsiAAB,2017 Q3,1,1,1,3
110031600002YeNQOAA3,2017 Q2,1,1,1,3
110031600002YeSfGAAV,2018 Q1,1,1,1,3
110031600002YeTGnAAN,2017 Q2,0,1,1,2
110031600002YeUIQAA3,2018 Q2,1,1,1,3
110031600002YeVFNAA3,2017 Q3,0,1,1,2
110031600002YeVFOAA3,2017 Q2,0,1,1,2
110031600002YeYeaAAF,2017 Q2,1,1,1,3
110031600002YeZetAAF,2018 Q2,1,1,1,3
110031600002YesfUAAR,2017 Q2,1,1,1,3
110031600002YezjkAAB,2017 Q3,1,1,1,3
110031600002Yf0w9AAB,2017 Q4,1,1,1,3
110031600002Yf9cSAAR,2017 Q4,1,1,1,3
110031600002Zc7f6AAB,2017 Q4,1,1,1,3
110031600002Zc80dAAB,2018 Q1,1,1,1,3
110031600002ZcL26AAF,2017 Q2,0,1,1,2
110031600002ZcRUtAAN,2017 Q4,0,1,1,2
110031600002ZcSLeAAN,2018 Q3,1,1,1,3
110031600002ZcUQ6AAN,2018 Q1,1,1,1,3
110031600002ZcavbAAB,2018 Q1,1,1,1,3
110031600002Zcd6MAAR,2018 Q3,1,1,1,3
110031600002ZchGVAAZ,2017 Q3,0,1,1,2
110031600002ZcnlQAAR,2017 Q2,1,1,1,3
110031600002ZcoSzAAJ,2017 Q2,1,1,1,3
110031600002ZdGy1AAF,2017 Q2,1,1,1,3
110031600002ZdMqEAAV,2017 Q3,1,1,1,3
110031600002ZdpLqAAJ,2017 Q4,1,1,1,3
110031600002ZdxNlAAJ,2017 Q3,0,1,1,2
110031600002Ze8a0AAB,2017 Q3,1,1,1,3
110031600002Ze8obAAB,2017 Q3,1,1,1,3
110031600002ZeUg0AAF,2018 Q1,1,1,1,3
110031600002ZeVr6AAF,2017 Q3,1,1,1,3
110031600002ZemcYAAR,2018 Q1,0,1,1,2
110031600002Zeo9FAAR,2018 Q3,1,1,1,3
110031600002Zfuu5AAB,2018 Q1,1,1,1,3
110031600002Zg7cdAAB,2017 Q3,1,1,1,3
110031600002Zg8CbAAJ,2017 Q2,0,1,1,2
110031600002ahSR5AAM,2017 Q4,1,1,1,3
110031600002ahdtrAAA,2018 Q2,1,1,1,3
110031600002ahziRAAQ,2018 Q1,1,1,1,3
110031600002aiK42AAE,2017 Q3,1,1,1,3
110031600002aiVu3AAE,2018 Q2,1,1,1,3
110031600002aituGAAQ,2017 Q4,1,1,1,3
110031600002aiwDqAAI,2017 Q4,1,1,1,3
110031600002aj2KrAAI,2017 Q3,0,1,1,2
110031600002aj2h2AAA,2017 Q3,0,1,1,2
110031600002aj3MRAAY,2018 Q2,1,1,1,3
110031600002ajWo5AAE,2017 Q3,1,1,1,3
110031600002ajX2bAAE,2017 Q2,1,1,1,3
110031600002ajYPqAAM,2018 Q1,1,1,1,3
110031600002ajcU8AAI,2017 Q1,1,1,1,3
110031600002ajhPMAAY,2017 Q4,0,1,1,2
110031600002ajwX5AAI,2018 Q2,1,1,1,3
110031600002akKDvAAM,2017 Q4,0,1,1,2
110031600002akOH7AAM,2017 Q4,0,1,1,2
110031600002akSX9AAM,2017 Q4,0,1,1,2
110031600002akSjnAAE,2018 Q2,1,1,1,3
110031600002akczAAAQ,2017 Q4,1,1,1,3
110031600002akk9eAAA,2017 Q2,0,1,1,2
110031600002al13tAAA,2017 Q3,1,1,1,3
110031600002al2HJAAY,2017 Q3,1,1,1,3
110031600002alL8PAAU,2017 Q3,0,1,1,2
110031600002bv9CHAAY,2018 Q2,1,1,1,3
110031600002bv9PuAAI,2018 Q1,1,1,1,3
110031600002bv9YxAAI,2018 Q1,1,1,1,3
110031600002bvA1ZAAU,2017 Q2,1,1,1,3
110031600002bvB5mAAE,2017 Q4,0,1,1,2
110031600002bvHbUAAU,2017 Q3,1,1,1,3
110031600002bvJzSAAU,2017 Q4,1,1,1,3
110031600002bvRRTAA2,2017 Q3,1,1,1,3
110031600002bvfp5AAA,2018 Q3,1,0,0,1
110031600002bvhuRAAQ,2017 Q3,1,1,1,3
110031600002bvovnAAA,2017 Q2,1,1,1,3
110031600002bvrvyAAA,2017 Q4,1,1,1,3
110031600002bvvRIAAY,2018 Q1,1,1,1,3
110031600002bvyQxAAI,2017 Q2,0,1,1,2
110031600002bw3ewAAA,2018 Q2,1,1,1,3
110031600002bw3ycAAA,2018 Q1,1,1,1,3
110031600002bwAOAAA2,2018 Q1,1,1,1,3
110031600002bwPczAAE,2018 Q1,1,1,1,3
110031600002bwRE7AAM,2018 Q1,1,1,1,3
110031600002bwl1SAAQ,2017 Q4,0,1,1,2
110031600002bwltzAAA,2018 Q1,1,1,1,3
110031600002bwnmlAAA,2017 Q3,1,1,1,3
110031600002bxFzGAAU,2017 Q4,1,1,1,3
110031600002bxKZxAAM,2017 Q4,1,1,1,3
110031600002bxKiBAAU,2017 Q2,1,1,1,3
110031600002bxNYoAAM,2017 Q2,0,1,1,2
110031600002bxVntAAE,2018 Q2,1,1,1,3
110031600002bxXEvAAM,2018 Q1,1,1,1,3
110031600002bxdhCAAQ,2017 Q3,1,1,1,3
110031600002bxePdAAI,2017 Q3,1,1,1,3
110031600002bxjI9AAI,2018 Q2,1,1,1,3
110031600002bxjfvAAA,2017 Q3,1,1,1,3
110031600002bxk3iAAA,2017 Q3,1,1,1,3
110031600002bxqRpAAI,2017 Q3,1,1,1,3
110031600002bxsTXAAY,2017 Q3,1,1,1,3
110031600002bxwtSAAQ,2017 Q4,0,1,1,2
110031600002bxx5OAAQ,2017 Q4,1,1,1,3
110031600002by5b9AAA,2018 Q3,1,0,0,1
110031600002by65sAAA,2017 Q3,1,1,1,3
110031600002by73nAAA,2017 Q3,1,1,1,3
110031600002byJGAAA2,2017 Q2,0,1,1,2
110031600002byNJJAA2,2017 Q3,1,1,1,3
110031600002byOmrAAE,2017 Q4,1,1,1,3
110031600002byWJmAAM,2017 Q3,1,1,1,3
110031600002bydTfAAI,2018 Q1,1,1,1,3
110031600002bykHwAAI,2018 Q2,1,1,1,3
110031600002dCOrBAAW,2017 Q3,1,1,1,3
110031600002dCOyqAAG,2017 Q3,1,1,1,3
110031600002dCW1yAAG,2018 Q2,1,1,1,3
110031600002dCaKbAAK,2018 Q3,1,0,0,1
110031600002dCbRFAA0,2017 Q2,0,1,1,2
110031600002dCpWHAA0,2018 Q3,1,0,0,1
110031600002dCq5QAAS,2018 Q3,1,0,0,1
110031600002dCqB9AAK,2017 Q4,1,1,1,3
110031600002dCqwZAAS,2018 Q2,1,1,1,3
110031600002dCtkhAAC,2017 Q4,0,1,1,2
110031600002dCyzlAAC,2018 Q2,1,1,1,3
110031600002dD6pcAAC,2017 Q4,0,1,1,2
110031600002dD6pdAAC,2017 Q4,0,1,1,2
110031600002dDC3QAAW,2017 Q4,1,1,1,3
110031600002dDKARAA4,2017 Q4,1,1,1,3
110031600002dDKDaAAO,2018 Q1,1,1,1,3
110031600002dDM8BAAW,2017 Q3,1,1,1,3
110031600002dDTndAAG,2017 Q4,1,1,1,3
110031600002dDUXnAAO,2017 Q4,1,1,1,3
110031600002dDdlzAAC,2017 Q4,1,1,1,3
110031600002dDdmiAAC,2017 Q4,1,1,1,3
110031600002dDlsPAAS,2017 Q4,1,1,1,3
110031600002dEXNvAAO,2018 Q1,1,1,1,3
110031600002dEhMDAA0,2018 Q1,0,1,1,2
110031600002dEiANAA0,2018 Q1,1,1,1,3
110031600002dEmB4AAK,2018 Q2,1,1,1,3
110031600002dEqqtAAC,2018 Q1,1,1,1,3
110031600002dEs1GAAS,2017 Q3,0,1,1,2
110031600002dExHVAA0,2018 Q1,0,1,1,2
110031600002dEyVtAAK,2017 Q4,0,1,1,2
110031600002dF4ZrAAK,2018 Q1,0,1,1,2
110031600002dF5E1AAK,2017 Q4,0,1,1,2
110031600002dFJACAA4,2018 Q3,1,0,0,1
110031600002dFJCDAA4,2018 Q1,0,1,1,2
110031600002dFKYBAA4,2017 Q4,1,1,1,3
110031600002dFPAhAAO,2017 Q4,0,1,1,2
110031600002dFQs3AAG,2017 Q4,1,1,1,3
110031600002dFZ3KAAW,2017 Q3,1,1,1,3
110031600002dFb7SAAS,2017 Q3,0,1,1,2
110031600002dFbT4AAK,2018 Q1,1,1,1,3
110031600002dFi4wAAC,2017 Q4,1,1,1,3
110031600002dFiKrAAK,2017 Q3,1,1,1,3
110031600002dFimRAAS,2018 Q1,1,1,1,3
110031600002dFk8cAAC,2017 Q3,0,1,1,2
110031600002dFmmNAAS,2017 Q4,0,1,1,2
110031600002dFqPgAAK,2017 Q4,0,1,1,2
110031600002dFqYKAA0,2018 Q1,1,1,1,3
110031600002dFqbuAAC,2017 Q4,1,1,1,3
110031600002dFyNJAA0,2017 Q4,1,1,1,3
110031600002dFyUAAA0,2018 Q2,1,1,1,3
110031600002dFzDAAA0,2017 Q3,1,1,1,3
110031600002dG0irAAC,2018 Q1,1,1,1,3
110031600002dG5DyAAK,2018 Q2,0,1,1,2
110031600002dG8vMAAS,2017 Q3,1,1,1,3
110031600002dG9NZAA0,2017 Q4,1,1,1,3
110031600002dGKewAAG,2018 Q2,1,1,1,3
110031600002dGKzaAAG,2017 Q4,0,1,1,2
110031600002dGL5JAAW,2018 Q1,1,1,1,3
110031600002dGS38AAG,2017 Q4,1,1,1,3
110031600002dGSrfAAG,2017 Q4,1,1,1,3
110031600002dGTWOAA4,2017 Q4,1,1,1,3
110031600002dGToXAAW,2017 Q3,0,1,1,2
110031600002dGa0oAAC,2017 Q3,1,1,1,3
110031600002dGaUPAA0,2018 Q2,1,1,1,3
110031600002dGaXTAA0,2018 Q1,0,1,1,2
110031600002eUF9jAAG,2018 Q1,1,1,1,3
110031600002eUFdPAAW,2017 Q4,1,1,1,3
110031600002eUGtWAAW,2017 Q4,1,1,1,3
110031600002eUR7AAAW,2018 Q2,1,1,1,3
110031600002eUcmJAAS,2018 Q1,1,1,1,3
110031600002eUdqMAAS,2018 Q1,1,1,1,3
110031600002eUj40AAC,2018 Q1,1,1,1,3
110031600002eUkE9AAK,2018 Q1,1,1,1,3
110031600002eUqg9AAC,2017 Q4,1,1,1,3
110031600002eVDOxAAO,2017 Q4,1,1,1,3
110031600002eVILxAAO,2017 Q4,0,1,1,2
110031600002eVK03AAG,2017 Q4,1,1,1,3
110031600002eVOwNAAW,2018 Q3,1,0,0,1
110031600002eVQgaAAG,2017 Q4,1,1,1,3
110031600002eVSEtAAO,2017 Q4,0,1,1,2
110031600002eVXOfAAO,2017 Q4,1,1,1,3
110031600002eVYG8AAO,2018 Q1,0,1,1,2
110031600002eVYZPAA4,2018 Q1,1,1,1,3
110031600002eVlkRAAS,2018 Q2,1,1,1,3
110031600002eVmpQAAS,2017 Q4,0,1,1,2
110031600002eVnkgAAC,2017 Q4,1,1,1,3
110031600002eVtSfAAK,2018 Q2,1,1,1,3
110031600002eVtgSAAS,2017 Q4,0,1,1,2
110031600002eVuG0AAK,2017 Q3,1,1,1,3
110031600002eVuq8AAC,2017 Q3,0,1,1,2
110031600002eVv4kAAC,2017 Q3,0,1,1,2
110031600002eVwIlAAK,2018 Q1,0,1,1,2
110031600002eVwuDAAS,2018 Q3,1,0,0,1
110031600002eW2C1AAK,2018 Q2,1,1,1,3
110031600002eW8GyAAK,2018 Q2,1,1,1,3
110031600002eW8P2AAK,2018 Q1,1,1,1,3
110031600002eW8rAAAS,2018 Q3,1,0,0,1
110031600002eW9F7AAK,2017 Q4,1,1,1,3
110031600002eWAEMAA4,2017 Q4,1,1,1,3
110031600002eWCzJAAW,2017 Q4,1,1,1,3
110031600002eWOmTAAW,2018 Q1,1,1,1,3
110031600002eWSR5AAO,2018 Q2,1,1,1,3
110031600002eWUEXAA4,2017 Q3,0,1,1,2
110031600002eWY78AAG,2018 Q2,1,1,1,3
110031600002eWagfAAC,2018 Q1,1,1,1,3
110031600002eWezKAAS,2018 Q1,1,1,1,3
110031600002eWfe9AAC,2018 Q2,1,1,1,3
110031600002eWmErAAK,2018 Q2,1,1,1,3
110031600002eWtSBAA0,2018 Q1,0,1,1,2
110031600002eWtjgAAC,2018 Q2,1,1,1,3
110031600002eX0ZBAA0,2017 Q3,1,1,1,3
110031600002eX5icAAC,2018 Q1,1,1,1,3
110031600002eX7zmAAC,2017 Q4,1,1,1,3
110031600002eXF4OAAW,2018 Q1,1,1,1,3
110031600002eXLTnAAO,2018 Q1,1,1,1,3
110031600002eXM2pAAG,2017 Q4,0,1,1,2
110031600002eXM5FAAW,2018 Q3,1,0,0,1
110031600002eXMYCAA4,2018 Q2,1,1,1,3
110031600002eXZQHAA4,2018 Q1,1,1,1,3
110031600002eXZWZAA4,2018 Q3,1,0,0,1
110031600002eXbJ8AAK,2018 Q1,1,1,1,3
110031600002eXgK4AAK,2018 Q2,1,1,1,3
110031600002eXgRoAAK,2018 Q2,1,1,1,3
110031600002eXhpSAAS,2017 Q4,1,1,1,3
110031600002eXnUVAA0,2017 Q4,1,1,1,3
110031600002eXnyaAAC,2017 Q4,1,1,1,3
110031600002eXpHtAAK,2018 Q2,1,1,1,3
110031600002eXpogAAC,2018 Q3,1,0,0,1
110031600002eXqLqAAK,2018 Q3,1,0,0,1
110031600002eXtvhAAC,2017 Q4,1,1,1,3
110031600002eXu7dAAC,2018 Q3,1,0,0,1
110031600002eXuC4AAK,2017 Q4,1,1,1,3
110031600002eXva8AAC,2018 Q3,1,0,0,1
110031600002eY40hAAC,2018 Q1,1,1,1,3
110031600002eY6PTAA0,2017 Q4,1,1,1,3
110031600002eY6UEAA0,2018 Q1,1,1,1,3
110031600002eY6t6AAC,2018 Q1,1,1,1,3
110031600002eY7tRAAS,2017 Q4,0,1,1,2
110031600002fhelaAAA,2018 Q1,1,1,1,3
110031600002fhk5qAAA,2017 Q4,1,1,1,3
110031600002fhmYnAAI,2018 Q1,1,1,1,3
110031600002fhpGhAAI,2018 Q2,1,1,1,3
110031600002fhyHTAAY,2017 Q3,1,1,1,3
110031600002fi0SnAAI,2018 Q2,1,1,1,3
110031600002fi6V8AAI,2017 Q4,0,1,1,2
110031600002fiHhZAAU,2018 Q2,1,1,1,3
110031600002fiHqWAAU,2018 Q2,0,1,1,2
110031600002fiIhfAAE,2017 Q4,1,1,1,3
110031600002fiIueAAE,2018 Q1,1,1,1,3
110031600002fiIvDAAU,2017 Q4,0,1,1,2
110031600002fiQ78AAE,2018 Q1,0,1,1,2
110031600002fiQQ2AAM,2017 Q4,1,1,1,3
110031600002fiRbsAAE,2017 Q4,0,1,1,2
110031600002fiUQ1AAM,2018 Q2,1,1,1,3
110031600002fiURiAAM,2017 Q4,1,1,1,3
110031600002fiV34AAE,2018 Q1,1,1,1,3
110031600002fiW3BAAU,2018 Q2,1,1,1,3
110031600002fiXEVAA2,2018 Q1,1,1,1,3
110031600002fibR1AAI,2017 Q4,1,1,1,3
110031600002fibrPAAQ,2017 Q4,0,1,1,2
110031600002fichAAAQ,2017 Q4,1,1,1,3
110031600002ficq5AAA,2018 Q1,0,1,1,2
110031600002fioDeAAI,2018 Q2,1,1,1,3
110031600002fiqevAAA,2018 Q1,1,1,1,3
110031600002fiqqXAAQ,2018 Q1,0,1,1,2
110031600002fj1ScAAI,2017 Q4,1,1,1,3
110031M00002f0BbSQAU,2018 Q1,1,1,1,3
110031M00002f0DG5QAM,2017 Q4,1,1,1,3
110031M00002f0HXeQAM,2018 Q1,1,1,1,3
110031M00002f0HsxQAE,2017 Q4,1,1,1,3
110031M00002f0IEOQA2,2017 Q4,0,1,1,2
110031M00002f0JemQAE,2018 Q2,1,1,1,3
110031M00002f0KfZQAU,2017 Q4,0,1,1,2
110031M00002f0KmVQAU,2018 Q1,0,1,1,2
110031M00002f0LFwQAM,2018 Q3,1,1,1,3
110031M00002f0LFxQAM,2018 Q3,1,1,1,3
110031M00002f0O0GQAU,2018 Q3,1,1,1,3
110031M00002f0O9cQAE,2017 Q4,1,1,1,3
110031M00002f0OFQQA2,2018 Q1,1,1,1,3
110031M00002f0ONPQA2,2018 Q3,1,1,1,3
110031M00002f0PvDQAU,2018 Q3,1,1,1,3
110031M00002f0cKVQAY,2018 Q3,1,1,1,3
110031M00002f0dPmQAI,2017 Q4,0,1,1,2
110031M00002f0eLfQAI,2018 Q1,0,1,1,2
110031M00002f0eW1QAI,2018 Q1,0,1,1,2
110031M00002f0ecwQAA,2018 Q1,1,1,1,3
110031M00002f0egUQAQ,2017 Q4,0,1,1,2
110031M00002f0kpmQAA,2018 Q1,1,1,1,3
110031M00002f0lqnQAA,2018 Q1,1,1,1,3
110031M00002f0ngLQAQ,2017 Q4,0,1,1,2
110031M00002f0s3dQAA,2018 Q3,1,1,1,3
110031M00002f0xSQQAY,2018 Q1,1,1,1,3
110031M00002f0yPfQAI,2017 Q4,1,1,1,3
110031M00002f0zAlQAI,2018 Q1,1,1,1,3
110031M00002f161kQAA,2018 Q3,1,1,1,3
110031M00002f16qpQAA,2018 Q1,1,1,1,3
110031M00002f17gLQAQ,2018 Q3,1,1,1,3
110031M00002f17mnQAA,2017 Q4,1,1,1,3
110031M00002f19IyQAI,2018 Q3,0,1,1,2
110031M00002f1DY0QAM,2017 Q4,0,1,1,2
110031M00002f1DrMQAU,2017 Q4,1,1,1,3
110031M00002f1M00QAE,2017 Q4,1,1,1,3
110031M00002f1M7GQAU,2018 Q1,1,1,1,3
110031M00002f1YUUQA2,2018 Q1,1,1,1,3
110031M00002f1ZpiQAE,2018 Q1,1,1,1,3
110031M00002f1ZvHQAU,2018 Q3,1,1,1,3
110031M00002f1bZSQAY,2018 Q1,1,1,1,3
110031M00002gQ0ikQAC,2018 Q1,1,1,1,3
110031M00002gQ0mqQAC,2018 Q3,1,1,1,3
110031M00002gQ1G8QAK,2018 Q3,1,1,1,3
110031M00002gQ9U1QAK,2018 Q3,1,1,1,3
110031M00002gQBO7QAO,2017 Q4,0,1,1,2
110031M00002gQDAoQAO,2018 Q1,0,1,1,2
110031M00002gQH28QAG,2018 Q1,1,1,1,3
110031M00002gQHDvQAO,2018 Q1,1,1,1,3
110031M00002gQHxHQAW,2018 Q1,0,1,1,2
