,Savings,CreditScore,Debt
505,,,
506,800,,
507,0,,
508,1000,,
509,,,
510,,,
511,,,
512,0,727,3000
513,,,
514,120,720,
515,0,500,
516,,,
517,0,,700
518,200,,
519,,,800
520,0,,
521,,,
522,0,,
523,0,,
524,0,500,5000
525,,,
526,0,,
527,0,,
528,,,
529,,,14000
530,,,
531,200,,
532,0,,
533,,635,6000
534,,,
535,,,
536,,,
537,,,
538,0,,
539,0,,
540,,,
541,,,
542,,,
543,0,,
544,150,,
545,,,
546,,,
547,0,,
548,,,
549,,,
550,0,,
551,,,
552,100,,
553,,,
554,,,
555,0,690,
556,0,,
557,0,,
558,0,,
559,0,,
560,,,
561,,,
562,,,
563,450,600,
564,,,
565,,,
566,,,
567,,,
568,,,
569,25,700,
570,,,
571,0,,
572,,725,1810
573,,,
574,40,500,
575,2000,600,
576,,,
577,0,,
578,,,
579,0,,
580,0,580,1200
581,,,
582,15,,35400
583,0,,
584,50,,
585,3600,768,
586,,,
587,,,
588,,,
589,,,
590,0,,
591,300,,
592,100,,
593,0,,400
594,0,,
595,,,
596,,,
597,,,
598,0,,
599,,680,186
600,0,,
601,0,,
602,,,
603,,,
604,,,
605,5000,500,
606,5000,780,
607,400,604,90300
608,,,
609,3000,619,160
610,0,,
611,,,
612,0,,
613,,,
614,0,,
615,0,,
616,,,
617,0,,1200
618,0,,400
619,,,
620,,,
621,0,530,52000
622,40,610,4000
623,0,,
624,0,602,60000
625,0,,16000
626,0,,
627,,405,
628,0,,
629,0,,
630,0,,
631,,,
632,,,
633,,500,
634,11000,600,
635,,,
636,20,550,2000
637,,,25000
638,0,,1650
639,,,
640,0,,
641,,,
642,0,,
643,0,580,
644,0,,
645,0,,
646,0,,
647,,,
648,,690,2000
649,0,600,25
650,0,504,13312
651,0,,
652,0,500,30000
653,0,,
654,,,
655,,,
656,,,
657,,,
658,,,
659,0,,2000
660,,,
661,,,
662,,,
663,,,
664,,,
665,,,
666,,,
667,,751,
668,,,
669,,,
670,,,
671,,,
672,0,570,70000
673,,,
674,0,,
675,1900,,
676,,,
677,,,
678,,,
679,,,
680,,,
681,,,
682,,,
683,,,
684,,,
685,,,
686,,,
687,,,
688,,,
689,,,
690,,,90000
691,0,470,11600
692,,,
693,0,,10000
694,,,
695,,,
696,0,630,100000
697,,,
698,,,
699,,,
700,,,
701,,460,
702,0,550,
703,0,,
704,,,
705,,,
706,,,
707,0,450,
708,0,,
709,,,
710,,,
711,0,520,18734
712,0,,
713,0,563,30000
714,,,
715,,,
716,,,
717,,,
718,,,
719,100,,
720,50,,
721,,,
722,,552,234
723,,,10800
724,,,
725,0,400,
726,,,650
727,,700,
728,,,
729,0,,57794
730,0,570,36000
731,,,
732,,,
733,7000,735,
734,,,
735,0,500,58000
736,,,
737,0,,
738,0,550,
739,2000,760,15000
740,,,
741,0,580,
742,,,
743,,,
744,,,
745,,,
746,0,,
747,0,,
748,0,,500
749,0,,2000
750,18000,,
751,,,
752,0,750,
753,0,,
754,,,
755,,,
756,,512,30000
757,,,
758,80000,800,
759,,518,
760,,,
761,0,,
762,0,,
763,,,
764,100,,10000
765,500,,
766,,,
767,,660,
768,0,530,
769,,,
770,700,,
771,0,550,50000
772,0,625,8000
773,,,
774,,,
775,6947,,
776,,,4995
777,,,
778,,,
779,2500,650,42500
780,,,
781,500,729,20000
782,,,
783,0,617,7260
784,8000,750,4000
785,1500,717,
786,450,611,800
787,0,546,80000
788,100,637,
789,0,,
790,500,,30000
791,,700,
792,,,
793,0,,1000
794,,,5000
795,700,,
796,,,
797,250,,
798,7.2,,
799,2000,730,2000
800,,,
801,,,
802,0,,
803,0,439,
804,400,460,
805,,,
806,,,
807,,,
808,0,,
809,0,,
810,,760,
811,,,
812,0,490,
813,0,,
814,,,
815,0,465,44000
816,,,
817,0,,
818,0,,
819,0,,
820,,,
821,,580,
822,135,711,777
823,,,
824,5000,750,1441
825,0,,47000
826,300,557,
827,,,
828,0,720,102500
829,0,,
830,,,
831,3000,730,
832,0,507,21000
833,,,
834,,,
835,,,
836,,,
837,,,
838,0,500,2500
839,2600,647,14500
840,,,
841,,,
842,1000,513,
843,,,
844,,,
845,,,
846,,,
847,,,
848,,520,300
849,,,65000
850,50,,
851,,,2600
852,,450,
