,Wages1,Hours1,Wages2,Hours2
0,15.0,40.0,,
1,15.0,40.0,,
2,15.0,40.0,,
3,,,,
4,12.5,40.0,,
5,16.0,32.0,,
6,15.0,40.0,,
7,15.0,40.0,,
8,17.0,30.0,,
9,,,,
10,18.0,40.0,,
11,12.0,40.0,,
12,11.95,40.0,,
13,11.0,25.0,,
14,11.0,30.0,,
15,18.0,40.0,,
16,,,,
17,14.11,40.0,,
18,16.96,66.0,,
19,15.0,40.0,,
20,,,,
21,,,,
22,,,,
23,,,,
24,12.35,40.0,,
25,10.0,40.0,,
26,8.5,25.0,,
27,,,,
28,10.0,40.0,,
29,12.0,40.0,9.0,15.0
30,13.5,40.0,,
31,24.25,40.0,,
32,11.75,40.0,,
33,0.0,0.0,,
34,12.0,27.0,,
35,10.0,20.0,10.0,20.0
36,13.0,35.0,,
37,0.0,0.0,,
38,14.0,30.0,,
39,9.0,15.0,,
40,14.0,40.0,,
41,14.0,30.0,,
42,11.5,30.0,,
43,15.0,40.0,,
44,16.0,40.0,,
45,0.0,0.0,,
46,14.0,40.0,,
47,11.0,40.0,,
48,10.0,30.0,,
49,9.0,30.0,,
50,12.0,30.0,,
51,16.0,40.0,,
52,21.5,40.0,,
53,9.5,30.0,,
54,10.0,30.0,,
55,17.7,40.0,,
56,19.27,40.0,,
57,,,,
58,,,,
59,,,,
60,,,,
61,11.5,20.0,,
62,11.5,40.0,,
63,8.0,15.0,,
64,15.0,40.0,,
65,,,,
66,21.25,40.0,,
67,0.0,,,
68,13.0,40.0,2.25,
69,15.0,40.0,,
70,15.65,40.0,,
71,,,,
72,,,,
73,,,,
74,15.0,40.0,,
75,18.75,20.0,,
76,8.0,20.0,,
77,,,,
78,30.0,40.0,,
79,13.0,30.0,,
80,15.0,20.0,,
81,8.0,30.0,,
82,9.0,40.0,,
83,,,,
84,,,,
85,,,,
86,17.7,24.0,,
87,20.65,20.0,,
88,31.41,30.0,,
89,,,,
90,19.26,40.0,,
91,,,,
92,,,,
93,15.88,20.0,,
94,,,,
95,,,,
96,,,,
97,,,,
98,17.5,36.0,,
99,20.83,24.0,,
100,,,,
101,13.02,24.0,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,5.9,12.0,,
109,9.0,12.0,,
110,,,,
111,13.0,32.0,,
112,,,,
113,8.0,4.0,,
114,10.0,32.0,,
115,,,,
116,11.22,32.0,,
117,15.0,20.0,,
118,16.99,10.0,,
119,14.0,40.0,,
120,20.0,40.0,,
121,8.0,20.0,,
122,15.0,32.0,,
123,10.0,30.0,,
124,,,,
125,10.5,20.0,,
126,,,,
127,8.0,34.0,,
128,,,,
129,10.5,20.0,2.13,15.0
130,15.0,30.0,,
131,,,,
132,,,,
133,10.0,35.0,,
134,11.0,20.0,,
135,10.5,20.0,,
136,16.0,20.0,,
137,16.0,40.0,,
138,,,,
139,16.0,40.0,,
140,,,,
141,14.0,40.0,,
142,,,,
143,0.0,,,
144,0.0,,,
145,0.0,,,
146,0.0,,,
147,0.0,,,
148,0.0,,,
149,0.0,,,
150,13.0,40.0,,
151,0.0,,,
152,,,,
153,0.0,,,
154,0.0,,,
155,0.0,,,
156,0.0,,,
157,0.0,,,
158,0.0,,,
159,,,,
160,0.0,,,
161,,,,
162,0.0,,,
163,17.5,40.0,,
164,0.0,,,
165,0.0,,,
166,0.0,,,
167,12.35,25.0,,
168,0.0,,,
169,0.0,,,
170,0.0,,,
171,,,,
172,0.0,,,
173,0.0,,,
174,12.35,40.0,,
175,0.0,,,
176,15.5,15.0,,
177,0.0,,,
178,0.0,,,
179,0.0,,,
180,15.0,30.0,0.0,0.0
181,12.0,23.0,45.0,15.0
182,14.0,30.0,0.0,0.0
183,47.12,40.0,0.0,0.0
184,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0
187,11.2,32.0,10.0,24.0
188,0.0,0.0,0.0,0.0
