,ClientID,Quarter,Baseline,date
126,1278114,2019 Q1,0,2019-01-01
127,1278262,2019 Q1,0,2019-01-01
128,1278335,2019 Q1,0,2019-01-01
129,1278436,2019 Q1,0,2019-01-01
130,1278438,2019 Q1,0,2019-01-01
131,1278439,2019 Q1,0,2019-01-01
132,1278441,2019 Q1,0,2019-01-01
133,1278443,2019 Q1,0,2019-01-01
134,1278445,2019 Q1,0,2019-01-01
135,1278613,2019 Q1,0,2019-01-01
136,1278622,2019 Q1,0,2019-01-01
137,1278755,2019 Q1,0,2019-01-01
138,1278786,2019 Q1,0,2019-01-01
139,1278809,2019 Q1,0,2019-01-01
140,1278828,2019 Q1,0,2019-01-01
141,1278838,2019 Q1,0,2019-01-01
142,1278893,2019 Q1,0,2019-01-01
143,1278894,2019 Q1,0,2019-01-01
144,1278908,2019 Q1,0,2019-01-01
145,1278936,2019 Q1,0,2019-01-01
146,1278979,2019 Q1,0,2019-01-01
147,1278980,2019 Q1,0,2019-01-01
148,1279012,2019 Q1,0,2019-01-01
149,1279058,2019 Q1,0,2019-01-01
150,1279351,2019 Q1,0,2019-01-01
151,1279409,2019 Q1,0,2019-01-01
152,1279616,2019 Q1,0,2019-01-01
153,1279631,2019 Q1,0,2019-01-01
154,1279632,2019 Q1,0,2019-01-01
155,1279663,2019 Q1,0,2019-01-01
156,1279673,2019 Q1,0,2019-01-01
157,1279683,2019 Q1,0,2019-01-01
158,1279821,2019 Q1,0,2019-01-01
159,1279885,2019 Q1,0,2019-01-01
160,1279886,2019 Q1,0,2019-01-01
161,1279896,2019 Q1,0,2019-01-01
162,1279928,2019 Q1,0,2019-01-01
163,1280031,2019 Q1,0,2019-01-01
164,1280105,2019 Q1,0,2019-01-01
165,1280235,2019 Q1,0,2019-01-01
166,1280428,2019 Q1,1,2019-01-01
167,1280428,2019 Q1,0,2019-01-01
168,1280505,2019 Q1,0,2019-01-01
169,1280507,2019 Q1,0,2019-01-01
170,1280640,2019 Q1,0,2019-01-01
171,1280722,2019 Q1,0,2019-01-01
172,1280942,2019 Q1,0,2019-01-01
173,1280962,2019 Q1,0,2019-01-01
174,1281086,2019 Q1,0,2019-01-01
175,1281455,2019 Q1,1,2019-01-01
176,1281455,2019 Q1,0,2019-01-01
177,1281737,2019 Q1,0,2019-01-01
178,1281780,2019 Q1,0,2019-01-01
179,1281794,2019 Q1,0,2019-01-01
180,1281798,2019 Q1,0,2019-01-01
181,1281799,2019 Q1,0,2019-01-01
182,1281801,2019 Q1,0,2019-01-01
183,1281803,2019 Q1,0,2019-01-01
184,1282096,2019 Q1,0,2019-01-01
185,1282097,2019 Q1,0,2019-01-01
186,1282318,2019 Q1,0,2019-01-01
187,1282378,2019 Q1,0,2019-01-01
188,1282408,2019 Q1,0,2019-01-01
189,1282449,2019 Q1,0,2019-01-01
190,1282493,2019 Q1,0,2019-01-01
191,1282690,2019 Q1,0,2019-01-01
192,1282727,2019 Q1,0,2019-01-01
193,1282729,2019 Q1,0,2019-01-01
194,1282759,2019 Q1,0,2019-01-01
195,1282847,2019 Q1,0,2019-01-01
196,1282957,2019 Q1,0,2019-01-01
197,1282962,2019 Q1,0,2019-01-01
198,1283043,2019 Q1,0,2019-01-01
199,1283116,2019 Q1,0,2019-01-01
200,1283228,2019 Q1,0,2019-01-01
201,1283253,2019 Q1,0,2019-01-01
202,1283255,2019 Q1,0,2019-01-01
203,1283256,2019 Q1,0,2019-01-01
204,1283258,2019 Q1,0,2019-01-01
205,1283259,2019 Q1,0,2019-01-01
206,1283271,2019 Q1,0,2019-01-01
207,1283285,2019 Q1,0,2019-01-01
208,1283351,2019 Q1,0,2019-01-01
209,1283359,2019 Q1,0,2019-01-01
210,1283361,2019 Q1,0,2019-01-01
211,1283367,2019 Q1,0,2019-01-01
212,1283388,2019 Q1,0,2019-01-01
213,1283389,2019 Q1,0,2019-01-01
214,1283483,2019 Q1,0,2019-01-01
215,1283560,2019 Q1,0,2019-01-01
216,1283642,2019 Q1,0,2019-01-01
217,1283691,2019 Q1,0,2019-01-01
218,1283694,2019 Q1,0,2019-01-01
219,1283702,2019 Q1,0,2019-01-01
220,1283739,2019 Q1,0,2019-01-01
221,1283817,2019 Q1,0,2019-01-01
222,1283871,2019 Q1,0,2019-01-01
223,1284263,2019 Q1,1,2019-01-01
224,1284263,2019 Q1,0,2019-01-01
225,1284773,2019 Q1,0,2019-01-01
226,1284784,2019 Q1,0,2019-01-01
227,1285168,2019 Q1,0,2019-01-01
228,1285203,2019 Q1,0,2019-01-01
229,1285441,2019 Q1,0,2019-01-01
230,1285662,2019 Q1,0,2019-01-01
231,1285716,2019 Q1,0,2019-01-01
232,1285723,2019 Q1,0,2019-01-01
233,1285735,2019 Q1,0,2019-01-01
234,1285737,2019 Q1,0,2019-01-01
235,1285745,2019 Q1,0,2019-01-01
236,1286044,2019 Q1,0,2019-01-01
237,1286118,2019 Q1,0,2019-01-01
238,1286127,2019 Q1,0,2019-01-01
239,1286636,2019 Q1,0,2019-01-01
240,1286731,2019 Q1,0,2019-01-01
241,1286734,2019 Q1,0,2019-01-01
242,1286792,2019 Q1,0,2019-01-01
243,1286827,2019 Q1,0,2019-01-01
244,1287072,2019 Q1,0,2019-01-01
245,1287073,2019 Q1,0,2019-01-01
246,1287076,2019 Q1,0,2019-01-01
