,Savings,CreditScore,Debt
569,,,
570,,,6340
571,,479,
572,,,
573,600,,525
574,,,
575,,,
576,,,
577,,,
578,,,
579,,,
580,150.08,611,
581,,,
582,1500,721,1500
583,2000,,
584,,,
585,,,
586,,,358
587,15000,,
588,3,,1200
589,,400,
590,,,
591,,,
592,,,
593,1000,689,1400
594,,,
595,,,
596,,,
597,,,
598,,,
599,,,
600,,,
601,,,
602,,,
603,1518,703,
604,15000,,
605,,,
606,,,
607,,,
608,,,
609,,416,20000
610,480,501,19000
611,200,,1876
612,,,20000
613,,,
614,,459,5000
615,300,599,
616,650,612,1100
617,500,618,5800
618,,,18000
619,,431,6100
620,,516,18000
621,,403,7200
622,,551,6570
623,,540,19000
624,,506,8000
625,,501,3000
626,,518,1600
627,,507,10000
628,,614,900
629,300,619,1600
630,,,1900
631,,,1000
632,,,
633,,,2000
634,,,500
635,,,1200
636,,,720
637,,598,1200
638,,,500
639,,661,2500
640,,591,
641,,418,2500
642,,,3800
643,,,
644,,,1900
645,,596,1000
646,,501,5400
647,,562,9882
648,,494,
649,450,637,12000
650,950,606,12900
651,,509,11000
652,,,22019
653,,,10000
654,200,544,20000
655,120,530,20000
656,230,602,8500
657,1000,619,15000
658,500,603,9000
659,,523,
660,125,598,1200
661,,,1980
662,,499,
663,80,,2500
664,85,,2300
665,125,508,15000
666,78,404,3000
667,,,12000
668,800,612,40000
669,1600,628,9200
670,245,589,5000
671,400,601,16000
672,,,
673,,,2300
674,200,528,17000
675,100,,
676,250,,
677,,,
678,,,11000
679,,,10000
680,,,5000
681,,,800
682,,,4500
683,,,1200
684,,,1500
685,,,5000
686,,,3000
687,200,573,5000
688,0,602,18000
689,250,601,15000
690,75,,11800
691,,,10000
692,50,,12000
693,,,
694,,,2000
695,250,,10000
696,3277,550,8570
697,1244,,4857
698,2258,556,49372
699,2055,472,6607
700,4775,511,17068
701,100,500,30000
702,100,500,30000
703,2425,535,638640
704,,504,37867
705,3350,545,16762
706,566,,68000
707,566,,68000
708,5060,595,29344
709,,554,18401
710,2371,608,31200
711,3459,581,60300
712,269,483,72107
713,1420,552,27183
714,150,482,36000
715,2953,563,30732
716,3446,516,16457
717,84,528,7518
718,84,529,7518
719,1206,,
720,3874,609,117584
721,1035,685,
722,1035,685,
723,10180,579,31457
724,4850,489,9062
725,4264,467,10174
726,517,514,2806
727,2477,536,46139
728,,,
729,,,
730,,536,10000
731,,,
732,0,0,0
733,0,0,0
734,0,737,3132
735,0,0,0
736,0,0,0
737,0,0,0
738,0,0,0
739,0,0,0
740,0,0,0
741,0,0,0
742,0,0,0
743,0,0,0
744,0,0,0
745,,,
746,0,0,0
747,0,0,3000
748,0,0,0
749,,,
