,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
151,0,1,2017-11-08 00:00:00,1.0,0,0
152,0,1,2018-06-05 00:00:00,1.0,0,0
153,0,3,2016-10-10 00:00:00,1.0,0,0
154,0,1,2017-12-01 00:00:00,1.0,0,0
155,0,3,,,0,0
156,0,3,2017-05-26 00:00:00,1.0,0,0
157,0,1,2017-04-10 00:00:00,1.0,0,0
158,0,3,,,0,0
159,0,1,2018-06-06 00:00:00,1.0,0,0
160,0,1,2016-12-23 00:00:00,1.0,0,0
161,0,2,2017-07-07 00:00:00,1.0,0,0
162,0,1,2016-11-17 00:00:00,1.0,0,0
163,0,3,,,0,0
164,0,3,,,0,0
165,0,1,2018-10-22 00:00:00,1.0,0,0
166,1,2,2019-03-22 00:00:00,0.0,1,1
167,1,2,2019-03-22 00:00:00,0.0,1,1
168,0,1,2017-09-15 00:00:00,1.0,1,0
169,0,1,2016-08-01 00:00:00,1.0,1,0
170,0,1,2017-09-14 00:00:00,1.0,1,0
171,0,1,2017-06-22 00:00:00,1.0,0,0
172,0,1,2017-09-01 00:00:00,1.0,0,0
173,0,1,2017-03-13 00:00:00,1.0,0,0
174,1,3,,,1,1
175,1,3,,,1,1
176,1,3,,,1,1
177,0,1,2019-03-04 00:00:00,0.0,0,0
178,0,1,2017-03-13 00:00:00,1.0,0,0
179,0,3,2017-03-14 00:00:00,1.0,0,0
180,0,1,2018-02-16 00:00:00,1.0,0,0
181,0,1,2017-04-05 00:00:00,1.0,0,0
182,0,1,2018-03-20 00:00:00,1.0,0,0
183,0,3,,,0,0
184,0,1,2017-08-23 00:00:00,1.0,0,0
185,0,1,2017-03-09 00:00:00,1.0,0,0
186,0,3,,,0,0
187,0,3,2018-04-10 00:00:00,1.0,0,0
188,0,1,2018-12-14 00:00:00,1.0,0,0
189,0,2,2019-03-04 00:00:00,0.0,0,0
190,0,3,,,1,0
191,0,3,,,0,0
192,0,3,,,1,0
193,0,3,,,0,0
194,0,3,2016-07-05 00:00:00,1.0,0,0
195,0,3,,,0,0
196,0,3,,,0,0
197,0,1,2017-04-19 00:00:00,1.0,0,0
198,0,1,2017-10-02 00:00:00,1.0,0,0
199,0,3,,,0,0
200,0,3,,,0,0
201,0,3,,,1,0
202,0,1,2018-11-01 00:00:00,1.0,0,0
203,0,3,2017-11-02 00:00:00,1.0,0,0
204,0,3,,,0,0
205,0,1,2017-08-15 00:00:00,1.0,0,0
206,0,3,,,0,0
207,0,1,2017-03-27 00:00:00,1.0,0,0
208,0,1,2017-05-24 00:00:00,1.0,0,0
209,0,1,2017-06-02 00:00:00,1.0,0,0
210,0,1,2018-11-08 00:00:00,1.0,1,0
211,0,3,,,0,0
212,0,3,2017-06-19 00:00:00,1.0,0,0
213,0,3,,,0,0
214,0,3,,,0,0
215,0,3,,,0,0
216,0,1,2017-03-31 00:00:00,1.0,0,0
217,0,3,,,0,0
218,0,1,2017-04-10 00:00:00,1.0,0,0
219,0,3,,,1,0
220,0,3,,,0,0
221,0,3,,,1,0
222,0,2,2017-07-10 00:00:00,1.0,0,0
223,1,3,,,1,1
224,1,3,,,1,1
225,0,3,,,0,0
226,0,1,2017-09-01 00:00:00,1.0,0,0
227,0,1,2017-09-01 00:00:00,1.0,0,0
228,0,1,2017-11-06 00:00:00,1.0,0,0
229,0,3,,,0,0
230,0,1,2018-02-27 00:00:00,1.0,0,0
231,0,1,2017-06-02 00:00:00,1.0,1,0
232,0,1,2018-10-22 00:00:00,1.0,0,0
233,0,3,,,0,0
234,0,1,2018-09-05 00:00:00,1.0,0,0
235,0,3,,,0,0
236,0,3,,,0,0
237,0,1,2017-09-19 00:00:00,1.0,0,0
238,0,1,2018-06-25 00:00:00,1.0,0,0
239,0,2,2017-09-25 00:00:00,1.0,0,0
240,0,2,2019-02-08 00:00:00,0.0,0,0
241,0,1,2019-02-07 00:00:00,0.0,0,0
242,0,3,,,0,0
243,0,1,2017-09-22 00:00:00,1.0,0,0
244,0,3,,,0,0
245,0,3,,,0,0
246,0,1,2018-10-08 00:00:00,1.0,0,0
247,0,1,2017-09-29 00:00:00,1.0,0,0
248,0,3,,,0,0
249,0,1,2017-10-01 00:00:00,1.0,0,0
250,0,3,,,1,0
251,0,3,,,0,0
252,0,1,2017-10-16 00:00:00,1.0,0,0
253,0,1,2018-12-10 00:00:00,1.0,1,0
254,0,2,2017-09-15 00:00:00,1.0,0,0
255,0,3,,,0,0
256,0,3,,,1,0
257,0,3,,,0,0
258,0,1,2017-10-23 00:00:00,1.0,0,0
259,0,1,2019-01-02 00:00:00,0.0,0,0
260,0,1,2017-12-01 00:00:00,1.0,0,0
261,0,1,2018-12-18 00:00:00,1.0,0,0
262,1,1,2018-05-14 00:00:00,1.0,0,0
263,0,2,2017-10-23 00:00:00,1.0,0,0
264,0,3,,,0,0
265,0,1,2017-11-06 00:00:00,1.0,0,0
266,0,1,2017-09-12 00:00:00,1.0,0,0
267,0,3,,,0,0
268,0,3,,,0,0
269,0,1,2018-01-15 00:00:00,1.0,0,0
270,0,1,2018-08-21 00:00:00,1.0,0,0
271,0,1,2018-03-01 00:00:00,1.0,0,0
272,0,1,2018-09-14 00:00:00,1.0,0,0
273,0,3,,,0,0
274,0,3,,,0,0
275,0,3,,,0,0
276,0,3,2018-06-04 00:00:00,1.0,0,0
277,0,1,2018-08-02 00:00:00,1.0,0,0
278,0,1,2018-07-12 00:00:00,1.0,0,0
279,0,1,2018-09-07 00:00:00,1.0,0,0
280,0,3,,,0,0
281,0,1,2018-10-08 00:00:00,1.0,0,0
282,0,1,2018-09-24 00:00:00,1.0,0,0
283,0,3,,,0,0
284,0,1,2016-01-01 00:00:00,1.0,0,0
285,0,1,2018-06-26 00:00:00,1.0,0,0
286,0,3,,,0,0
287,0,3,,,0,0
288,0,3,2017-12-01 00:00:00,1.0,0,0
289,0,2,2018-09-24 00:00:00,1.0,0,0
290,0,3,,,0,0
291,0,3,,,0,0
292,0,1,2018-04-24 00:00:00,1.0,0,0
293,1,3,,,0,0
294,0,3,,,0,0
295,0,3,,,0,0
296,0,1,2018-08-06 00:00:00,1.0,0,0
297,1,2,2019-03-22 00:00:00,0.0,1,1
298,1,2,2019-03-22 00:00:00,0.0,1,1
299,0,3,,,0,0
300,0,3,,,0,0
301,0,3,,,0,0
302,0,3,,,0,0
303,0,1,2018-07-23 00:00:00,1.0,0,0
304,0,3,,,0,0
305,0,3,,,0,0
306,0,2,2018-05-31 00:00:00,1.0,0,0
307,0,1,2018-12-06 00:00:00,1.0,0,0
308,0,1,2018-08-01 00:00:00,1.0,0,0
309,0,3,,,0,0
310,0,1,2018-05-28 00:00:00,1.0,0,0
311,0,3,,,0,0
312,0,3,,,0,0
313,0,3,,,0,0
314,0,3,,,0,0
315,0,3,,,0,0
316,1,1,2019-03-25 00:00:00,0.0,1,1
317,1,1,2019-03-25 00:00:00,0.0,1,1
318,0,3,,,0,0
319,0,3,,,0,0
320,0,3,,,0,0
321,0,3,2018-11-21 00:00:00,1.0,0,0
322,0,1,2018-08-07 00:00:00,1.0,0,0
323,0,1,2018-10-01 00:00:00,1.0,0,0
324,0,1,2018-08-12 00:00:00,1.0,0,0
325,0,3,,,0,0
326,0,3,,,0,0
327,0,1,2019-01-14 00:00:00,0.0,0,0
328,0,1,2018-05-10 00:00:00,1.0,0,0
329,0,3,,,0,0
330,0,1,2018-06-30 00:00:00,1.0,0,0
331,0,3,,,0,0
332,0,1,2018-09-17 00:00:00,1.0,0,0
333,0,1,2018-02-01 00:00:00,1.0,0,0
334,0,3,,,0,0
335,0,1,2018-09-19 00:00:00,1.0,0,0
336,0,3,,,0,0
337,0,1,2018-07-30 00:00:00,1.0,0,0
338,0,1,2018-06-14 00:00:00,1.0,0,0
339,0,3,,,0,0
340,0,1,2018-08-15 00:00:00,1.0,0,0
341,0,1,2018-08-27 00:00:00,1.0,0,0
342,0,3,,,0,0
343,0,3,,,0,0
344,1,2,2018-08-27 00:00:00,1.0,0,0
345,0,1,2016-06-01 00:00:00,1.0,0,0
346,0,1,2018-12-23 00:00:00,1.0,0,0
347,0,1,2018-08-02 00:00:00,1.0,0,0
348,0,3,,,0,0
349,0,1,2018-12-04 00:00:00,1.0,0,0
350,0,2,2019-01-30 00:00:00,0.0,0,0
351,0,1,2018-09-17 00:00:00,1.0,0,0
352,0,1,2018-08-06 00:00:00,1.0,0,0
353,0,3,,,0,0
354,0,3,,,0,0
355,0,3,,,0,0
356,0,3,2018-08-06 00:00:00,1.0,0,0
357,0,1,2018-08-13 00:00:00,1.0,0,0
358,0,1,2018-08-02 00:00:00,1.0,0,0
359,0,3,,,0,0
360,0,3,,,0,0
361,0,1,2018-07-30 00:00:00,1.0,0,0
362,0,3,,,0,0
363,0,3,2018-09-25 00:00:00,1.0,0,0
364,0,1,2018-07-30 00:00:00,1.0,0,0
365,0,3,,,0,0
366,0,3,,,0,0
367,0,3,,,0,0
368,0,1,2018-10-12 00:00:00,1.0,0,0
369,0,1,2017-10-01 00:00:00,1.0,0,0
370,1,1,2019-01-28 00:00:00,0.0,1,1
371,1,1,2019-01-28 00:00:00,0.0,1,1
372,0,3,,,0,0
373,0,3,,,0,0
374,0,3,,,0,0
375,0,3,,,0,0
376,0,1,2018-09-03 00:00:00,1.0,0,0
377,0,3,,,0,0
378,0,3,,,0,0
379,0,3,,,0,0
380,0,3,,,0,0
381,0,3,,,0,0
382,0,1,2019-01-09 00:00:00,0.0,0,0
383,0,2,2018-09-04 00:00:00,1.0,0,0
384,0,1,2018-09-27 00:00:00,1.0,0,0
385,0,1,2019-01-17 00:00:00,0.0,0,0
386,0,1,2019-01-01 00:00:00,0.0,0,0
387,0,3,,,0,0
388,0,1,2018-09-16 00:00:00,1.0,0,0
389,0,3,,,0,0
390,0,1,2018-07-16 00:00:00,1.0,0,0
391,0,3,,,0,0
392,0,3,,,0,0
393,0,3,,,0,0
394,0,1,2018-06-04 00:00:00,1.0,0,0
395,0,3,,,0,0
396,0,1,2018-11-01 00:00:00,1.0,0,0
397,0,3,,,0,0
398,0,3,,,0,0
399,0,1,2018-10-08 00:00:00,1.0,0,0
400,0,3,,,0,0
401,0,3,,,0,0
402,0,3,,,0,0
403,0,3,,,0,0
404,0,3,,,0,0
405,0,3,,,0,0
406,0,1,2018-10-11 00:00:00,1.0,0,0
407,0,3,,,0,0
408,0,1,2018-11-28 00:00:00,1.0,0,0
409,0,3,,,0,0
410,0,1,2018-12-24 00:00:00,1.0,0,0
411,0,1,2018-10-22 00:00:00,1.0,0,0
412,0,3,,,0,0
413,0,3,,,0,0
414,0,3,,,0,0
415,0,1,2018-12-03 00:00:00,1.0,0,0
416,0,3,,,0,0
417,0,1,2018-12-06 00:00:00,1.0,0,0
418,0,1,2019-01-07 00:00:00,0.0,0,0
419,0,3,,,0,0
420,0,3,,,0,0
421,0,1,2019-01-10 00:00:00,0.0,0,0
422,0,1,2018-12-05 00:00:00,1.0,0,0
423,0,1,2018-12-07 00:00:00,1.0,0,0
424,0,3,,,0,0
425,0,1,2018-12-06 00:00:00,1.0,0,0
426,0,3,,,0,0
427,0,1,2018-12-11 00:00:00,1.0,0,0
428,0,3,,,0,0
429,0,1,2018-05-01 00:00:00,1.0,0,0
430,0,3,,,0,0
431,0,1,2019-03-25 00:00:00,0.0,0,0
432,1,3,,,1,1
433,1,3,,,1,1
434,0,3,,,0,0
435,0,3,,,0,0
436,0,3,,,0,0
437,0,3,,,0,0
438,1,3,,,1,1
439,1,3,,,1,1
440,1,1,2019-03-12 00:00:00,0.0,1,1
441,1,1,2019-03-12 00:00:00,0.0,1,1
442,0,3,,,1,0
443,1,3,,,1,1
444,1,3,,,1,1
445,1,3,,,1,1
446,1,3,,,1,1
447,1,1,2019-03-25 00:00:00,0.0,1,1
448,1,1,2019-03-25 00:00:00,0.0,1,1
449,1,3,,,1,1
450,1,3,,,1,1
451,1,1,2019-03-26 00:00:00,0.0,1,1
452,1,1,2019-03-26 00:00:00,0.0,1,1
453,1,3,,,1,1
454,1,3,,,1,1
455,1,3,,,1,1
456,1,3,,,1,1
457,1,1,2019-03-25 00:00:00,0.0,1,1
458,1,1,2019-03-25 00:00:00,0.0,1,1
459,1,3,,,1,1
460,1,3,,,1,1
461,1,3,,,1,1
462,1,3,,,1,1
463,1,1,2019-03-25 00:00:00,0.0,1,1
464,1,1,2019-03-25 00:00:00,0.0,1,1
465,1,1,2019-03-22 00:00:00,0.0,1,1
466,1,1,2019-03-22 00:00:00,0.0,1,1
467,1,3,,,1,1
468,1,3,,,1,1
469,1,1,2019-03-11 00:00:00,0.0,1,1
470,1,1,2019-03-11 00:00:00,0.0,1,1
471,1,1,2019-03-22 00:00:00,0.0,1,1
