,Wages1,Hours1,Wages2,Hours2
335,11.0,40.0,,
336,,,,
337,15.0,40.0,,
338,18.0,40.0,,
339,,,,
340,15.0,40.0,,
341,11.0,25.0,,
342,,,,
343,,,,
344,11.0,25.0,,
345,14.75,38.0,,
346,30.0,12.0,,
347,12.5,40.0,,
348,,,,
349,15.0,40.0,,
350,18.4,30.0,,
351,15.0,37.0,,
352,12.5,40.0,,
353,,,,
354,,,,
355,,,,
356,12.0,40.0,,
357,13.0,40.0,,
358,12.5,40.0,,
359,,,,
360,,,,
361,14.0,40.0,,
362,,,,
363,15.0,20.0,,
364,17.0,40.0,,
365,,,,
366,,,,
367,,,,
368,13.0,40.0,,
369,7.25,40.0,,
370,11.0,30.0,,
371,11.0,30.0,,
372,,,,
373,,,,
374,,,,
375,,,,
376,18.0,40.0,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,9.0,20.0,,
383,16.0,30.0,,
384,10.87,40.0,,
385,10.0,40.0,,
386,12.0,40.0,,
387,,,,
388,2.15,25.0,,
389,,,,
390,7.25,12.0,,
391,,,,
392,,,,
393,,,,
394,8.75,10.0,,
395,,,,
396,14.0,40.0,,
397,,,,
398,,,,
399,13.0,40.0,,
400,,,,
401,,,,
402,,,,
403,,,,
404,,,,
405,,,,
406,13.0,40.0,,
407,,,,
408,17.6,40.0,,
409,,,,
410,11.0,40.0,,
411,11.0,35.0,,
412,,,,
413,,,,
414,,,,
415,13.0,40.0,,
416,,,,
417,13.5,40.0,,
418,20.0,40.0,,
419,,,,
420,,,,
421,11.5,40.0,,
422,13.0,40.0,,
423,17.0,40.0,,
424,,,,
425,13.0,40.0,,
426,,,,
427,20.0,30.0,,
428,,,,
429,15.0,25.0,,
430,,,,
431,20.0,40.0,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,13.5,40.0,,
441,13.5,40.0,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,13.5,40.0,,
448,13.5,40.0,,
449,,,,
450,,,,
451,11.0,35.0,,
452,11.0,35.0,,
453,,,,
454,,,,
455,,,,
456,,,,
457,13.5,40.0,,
458,13.5,40.0,,
459,,,,
460,,,,
461,,,,
462,,,,
463,13.5,40.0,,
464,13.5,40.0,,
465,13.5,40.0,,
466,13.5,40.0,,
467,,,,
468,,,,
469,13.0,40.0,,
470,13.0,40.0,,
471,13.5,40.0,,
472,13.5,40.0,,
473,13.5,40.0,,
474,13.5,40.0,,
475,13.0,40.0,,
476,13.0,40.0,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,12.0,40.0,,
486,12.0,40.0,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,12.0,40.0,,
497,11.5,15.0,,
498,17.0,40.0,,
499,,,,
500,18.25,40.0,,
