,FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
0,Yes,Somewhat confident,Yes,No,Yes,Yes
1,Yes,Somewhat confident,No,No,Yes,Yes
2,Yes,Somewhat confident,Yes,No,No,Yes
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,Yes,Somewhat confident,No,No,Yes,No
9,Yes,Not at all confident,No,Yes,Yes,Yes
10,Yes,Very confident,Yes,Yes,Yes,No
11,Yes,Not at all confident,No,Yes,Yes,Yes
12,Yes,Somewhat confident,No,No,No,No
13,Yes,Not at all confident,No,No,Yes,No
14,,,,,,
15,,,,,,
16,Yes,Not at all confident,No,No,No,No
17,,,,,,
18,No,Somewhat confident,Yes,Yes,No,Yes
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,Yes,Very confident,No,No,No,Yes
31,Yes,Very confident,No,No,No,No
32,,,,,,
33,Yes,Very confident,No,No,No,Yes
34,,,,,,
35,Yes,Very confident,Yes,No,Yes,No
36,Yes,Somewhat confident,No,No,No,No
37,,,,,,
38,,,,,,
39,No,Very confident,Yes,Yes,Yes,Yes
40,Yes,Somewhat confident,No,No,No,Yes
41,No,Not at all confident,No,No,Yes,Yes
42,No,Somewhat confident,Yes,No,Yes,Yes
43,Yes,Very confident,Yes,No,Yes,Yes
44,Yes,Very confident,Yes,No,Yes,Yes
45,No,Very confident,Yes,Yes,No,No
46,No,Somewhat confident,No,Yes,No,No
47,No,Somewhat confident,No,Yes,Yes,Yes
48,No,Very confident,Yes,Yes,Yes,Yes
49,No,Somewhat confident,Yes,Yes,Yes,Yes
50,,,,,,
51,,,,,,
52,,,,,,
53,No,Somewhat confident,Yes,Yes,Yes,No
54,Yes,Somewhat confident,No,No,Yes,No
55,,,,,,
56,Yes,Somewhat confident,Yes,No,Yes,Yes
57,No,Somewhat confident,No,No,Yes,Yes
58,,,,,,
59,No,Somewhat confident,No,No,No,Yes
60,No,Somewhat confident,No,No,No,Yes
61,,,,,,
62,No,Very confident,No,No,No,Yes
63,No,Very confident,No,No,No,Yes
64,,,,,,
65,Yes,Very confident,Yes,No,No,Yes
66,No,Not at all confident,No,No,No,No
67,,,,,,
68,Yes,Not at all confident,No,No,No,No
69,No,Somewhat confident,No,No,No,No
70,No,Very confident,Yes,No,No,Yes
71,,,,,,
72,No,Not at all confident,No,No,No,No
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,Yes,Somewhat confident,No,No,Yes,No
78,,,,,,
79,No,Very confident,No,No,No,No
80,No,Very confident,No,No,No,No
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,No,Very confident,No,No,Yes,No
89,No,Very confident,No,No,Yes,No
90,No,Somewhat confident,No,No,No,No
91,No,Somewhat confident,No,No,No,No
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,No,Very confident,No,No,No,Yes
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,Yes,Very confident,No,Yes,Yes,No
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,No,Very confident,No,No,No,No
124,No,Very confident,No,No,No,No
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,Yes,Very confident,No,No,No,No
133,Yes,Very confident,No,No,No,No
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,Yes,Very confident,No,No,No,No
141,Yes,Very confident,No,No,No,No
142,,,,,,
143,,,,,,
144,Yes,Very confident,No,No,Yes,No
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,No,Somewhat confident,No,No,No,No
153,,,,,,
154,,,,,,
155,,,,,,
156,No,Very confident,No,No,No,No
157,No,Very confident,No,No,Yes,No
158,No,Very confident,No,No,Yes,No
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,No,Very confident,Yes,Yes,No,No
165,No,Very confident,Yes,Yes,No,No
166,,,,,,
167,Yes,Very confident,No,Yes,Yes,No
168,,,,,,
169,No,Somewhat confident,No,No,No,Yes
170,,,,,,
171,,,,,,
172,,,,,,
173,Yes,Somewhat confident,No,Yes,No,No
174,,,,,,
175,No,Very confident,Yes,No,No,No
176,No,Very confident,Yes,No,No,No
177,,,,,,
178,,,,,,
179,No,Somewhat confident,No,No,No,Yes
180,No,Somewhat confident,No,No,No,Yes
181,No,Very confident,No,Yes,Yes,No
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,No,Very confident,No,No,Yes,No
194,No,Very confident,No,No,Yes,No
195,No,Very confident,No,No,No,No
196,No,Very confident,No,No,No,No
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,Yes,Very confident,No,No,No,No
202,Yes,Very confident,No,No,No,No
203,No,Very confident,No,No,Yes,Yes
204,,,,,,
205,,,,,,
206,Yes,Very confident,No,No,Yes,Yes
207,Yes,Very confident,No,No,Yes,Yes
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,No,Somewhat confident,No,Yes,No,Yes
215,,,,,,
216,,,,,,
217,Yes,Very confident,Yes,No,Yes,No
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,Yes,Very confident,No,Yes,Yes,No
228,,,,,,
229,Yes,Somewhat confident,No,No,Yes,No
230,,,,,,
231,,,,,,
232,Yes,Very confident,No,Yes,Yes,No
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,Yes,Very confident,No,No,No,No
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,No,Somewhat confident,No,No,No,No
246,No,Somewhat confident,No,No,No,No
247,,,,,,
248,,,,,,
249,,,,,,
