,Wages1,Hours1,Wages2,Hours2
0,9.3,30.0,,
1,15.0,65.0,,
2,9.0,20.0,,
3,8.5,35.0,,
4,18.25,40.0,,
5,29.0,40.0,,
6,10.0,40.0,,
7,12.0,40.0,,
8,,,,
9,13.22,40.0,,
10,,,,
11,10.0,40.0,,
12,,,,
13,,,,
14,15.0,40.0,,
15,11.5,40.0,,
16,,,,
17,,,,
18,10.0,40.0,,
19,10.25,29.0,,
20,,,,
21,20.0,25.0,,
22,,,,
23,,,,
24,,,,
25,8.0,25.0,,
26,,,,
27,,,,
28,,,,
29,8.0,40.0,,
30,11.5,38.0,,
31,15.625,40.0,,
32,10.0,40.0,,
33,,,,
34,,,,
35,21.0,45.0,,
36,10.03,40.0,,
37,,,,
38,18.125,30.0,13.0,10.0
39,9.375,40.0,,
40,,,,
41,24.0,20.0,,
42,13.95625,40.0,,
43,25.0,40.0,,
44,25.0,40.0,,
45,20.55,40.0,,
46,20.0,40.0,,
47,,,,
48,11.5625,40.0,,
49,17.5,40.0,,
50,21.0,20.0,,
51,10.0,40.0,,
52,10.0,40.0,,
53,16.6,20.0,,
54,8.125,40.0,,
55,20.625,40.0,,
56,20.625,40.0,,
57,,,,
58,23.75,20.0,,
59,,,,
60,,,,
61,8.0,40.0,,
62,,,,
63,15.0,20.0,,
64,,,,
65,,,,
66,,,,
67,17.5,20.0,,
68,74.0,40.0,,
69,17.5,40.0,,
70,,,,
71,13.5,40.0,,
72,11.0,40.0,,
73,13.0,25.0,,
74,,,,
75,12.0,40.0,,
76,9.0,20.0,,
77,15.0,40.0,,
78,,,,
79,9.5,40.0,,
80,9.5,40.0,,
81,,,,
82,8.0,35.0,,
83,,,,
84,35.31,40.0,,
85,28.0,40.0,,
86,,,,
87,11.0,40.0,,
88,,,,
89,,,,
90,13.0,40.0,,
91,13.0,40.0,,
92,10.5,40.0,,
93,14.0,40.0,,
94,,,,
95,,,,
96,13.0,40.0,,
97,,,,
98,8.75,10.0,,
99,,,,
100,13.5,40.0,,
101,16.0,40.0,,
102,9.0,15.0,,
103,,,,
