,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
152,No,Yes,Yes,Yes,No,No,1
153,No,,Yes,Yes,No,No,1
154,No,,Yes,Yes,No,No,1
155,No,,Yes,Yes,No,No,1
156,No,No,Yes,Yes,No,No,1
157,Yes,Yes,Yes,Yes,Yes,Yes,3
158,Yes,Yes,Yes,Yes,Yes,Yes,3
159,No,,Yes,Yes,No,No,1
160,No,,Yes,Yes,No,No,1
161,No,No,Yes,Yes,No,No,1
162,No,No,Yes,Yes,No,No,1
163,No,,Yes,Yes,No,No,1
164,No,No,Yes,Yes,No,No,1
165,No,No,Yes,Yes,No,No,1
166,No,,Yes,Yes,No,No,1
167,No,No,Yes,Yes,No,Yes,2
168,No,,Yes,Yes,No,No,1
169,No,Yes,Yes,Yes,No,No,1
170,No,,Yes,Yes,No,No,1
171,No,No,Yes,Yes,No,No,1
172,No,,Yes,Yes,No,No,1
173,No,Yes,Yes,Yes,No,Yes,2
174,No,,Yes,Yes,No,No,1
175,Yes,No,Yes,Yes,Yes,Yes,3
176,Yes,No,Yes,Yes,Yes,Yes,3
177,No,,Yes,Yes,No,No,1
178,No,,Yes,Yes,No,No,1
179,Yes,No,Yes,Yes,Yes,Yes,3
180,Yes,No,Yes,Yes,Yes,Yes,3
181,No,Yes,Yes,Yes,No,No,1
182,No,Yes,Yes,Yes,Yes,No,2
183,No,,Yes,Yes,No,No,1
184,No,,Yes,Yes,No,No,1
185,No,,Yes,Yes,No,No,1
186,No,,Yes,Yes,No,No,1
187,No,,Yes,Yes,No,No,1
188,No,,Yes,Yes,Yes,No,2
189,No,,Yes,Yes,Yes,No,2
190,No,No,Yes,Yes,No,No,1
191,No,,Yes,Yes,No,No,1
192,No,,Yes,Yes,No,No,1
193,No,Yes,Yes,Yes,No,Yes,2
194,No,Yes,Yes,Yes,No,Yes,2
195,Yes,No,Yes,Yes,Yes,Yes,3
196,Yes,No,Yes,Yes,Yes,Yes,3
197,No,No,Yes,Yes,No,No,1
198,No,,Yes,Yes,No,No,1
199,No,,Yes,Yes,No,No,1
200,No,Yes,Yes,Yes,Yes,No,2
201,No,No,Yes,Yes,No,Yes,2
202,No,No,Yes,Yes,No,Yes,2
203,No,,Yes,Yes,No,No,1
204,No,,Yes,Yes,No,No,1
205,No,,Yes,Yes,No,No,1
206,Yes,Yes,Yes,Yes,Yes,Yes,3
207,Yes,Yes,Yes,Yes,Yes,Yes,3
208,No,,Yes,Yes,No,No,1
209,No,No,Yes,Yes,Yes,No,2
210,No,No,Yes,Yes,No,No,1
211,No,,Yes,Yes,No,No,1
212,No,,Yes,Yes,No,No,1
213,No,,Yes,Yes,No,No,1
214,No,No,Yes,Yes,No,No,1
215,No,,Yes,Yes,No,No,1
216,No,,Yes,Yes,No,No,1
217,No,No,Yes,Yes,No,No,1
218,No,Yes,Yes,Yes,Yes,No,2
219,No,,Yes,Yes,No,No,1
220,No,,Yes,Yes,No,No,1
221,Yes,,Yes,Yes,Yes,Yes,3
222,No,,Yes,Yes,No,No,1
223,No,,Yes,Yes,No,No,1
224,No,,Yes,Yes,No,No,1
225,No,,Yes,Yes,No,No,1
226,No,,Yes,Yes,No,No,1
227,No,No,Yes,Yes,No,Yes,2
228,No,,Yes,Yes,No,No,1
229,No,Yes,Yes,Yes,No,No,1
230,No,No,Yes,Yes,Yes,No,2
231,No,,Yes,Yes,No,No,1
232,No,No,Yes,Yes,No,Yes,2
233,No,,Yes,Yes,No,No,1
234,No,,Yes,Yes,No,No,1
235,No,,Yes,Yes,No,No,1
236,No,,Yes,Yes,No,No,1
237,No,Yes,Yes,Yes,No,No,1
