,Client ID,Quarter,Baseline,date
0,1000040,2019 Q2,0,2019-04-01
1,1000028,2019 Q2,0,2019-04-01
2,1019091,2019 Q2,0,2019-04-01
3,1017830,2019 Q2,0,2019-04-01
4,1000114,2019 Q2,0,2019-04-01
5,1006814,2019 Q2,0,2019-04-01
6,1002981,2019 Q2,0,2019-04-01
7,1004903,2019 Q2,0,2019-04-01
8,1019369,2019 Q2,0,2019-04-01
9,1005953,2019 Q2,0,2019-04-01
10,1018439,2019 Q2,0,2019-04-01
11,1013538,2019 Q2,0,2019-04-01
12,1003908,2019 Q2,0,2019-04-01
13,1019102,2019 Q2,0,2019-04-01
14,1010009,2019 Q2,0,2019-04-01
15,1013877,2019 Q2,0,2019-04-01
16,1019104,2019 Q2,0,2019-04-01
17,1000075,2019 Q2,0,2019-04-01
18,1019612,2019 Q2,0,2019-04-01
19,1000280,2019 Q2,0,2019-04-01
20,1001971,2019 Q2,0,2019-04-01
21,1002315,2019 Q2,0,2019-04-01
22,1001041,2019 Q2,0,2019-04-01
23,1001731,2019 Q2,0,2019-04-01
24,1003716,2019 Q2,0,2019-04-01
25,1014575,2019 Q2,0,2019-04-01
26,1016573,2019 Q2,0,2019-04-01
27,1017620,2019 Q2,0,2019-04-01
28,1018219,2019 Q2,0,2019-04-01
29,1018435,2019 Q2,0,2019-04-01
30,1018615,2019 Q2,0,2019-04-01
31,1019172,2019 Q2,0,2019-04-01
32,1019242,2019 Q2,0,2019-04-01
33,1019249,2019 Q2,0,2019-04-01
34,1019257,2019 Q2,0,2019-04-01
35,1019446,2019 Q2,0,2019-04-01
36,1019457,2019 Q2,0,2019-04-01
37,1019464,2019 Q2,0,2019-04-01
38,1019852,2019 Q2,1,2019-04-01
39,1020068,2019 Q2,1,2019-04-01
40,1021230,2019 Q2,1,2019-04-01
41,1014183,2019 Q2,1,2019-04-01
42,1020796,2019 Q2,1,2019-04-01
43,1001845,2019 Q2,1,2019-04-01
44,1001845,2019 Q2,0,2019-04-01
45,1021067,2019 Q2,1,2019-04-01
46,1021192,2019 Q2,1,2019-04-01
47,1020793,2019 Q2,1,2019-04-01
48,1019809,2019 Q2,1,2019-04-01
49,1019853,2019 Q2,1,2019-04-01
50,1020803,2019 Q2,1,2019-04-01
51,1020674,2019 Q2,1,2019-04-01
52,1020674,2019 Q2,0,2019-04-01
53,1019970,2019 Q2,1,2019-04-01
54,1020794,2019 Q2,1,2019-04-01
55,1019975,2019 Q2,1,2019-04-01
56,1019975,2019 Q2,0,2019-04-01
